frame,timestamp_s,obstacle_id,detection_source,cam_dist_m,lidar_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_rel_error_pct,lidar_rel_error_pct,cam_within_1m,lidar_within_1m,cam_latency_ms,lidar_latency_ms,danger_level,angle_deg,sector,match_method
0,47.1462,cam_0,CAM_ONLY,32.7170,,38.7849,6.0679,,15.6451,,0,,14.88,5.74,warning,-27.24,,CAMERA_ONLY
0,47.1462,cam_0,CAM_ONLY,38.6844,,38.7849,0.1005,,0.2591,,1,,14.88,5.74,slowdown,-16.58,,CAMERA_ONLY
0,47.2226,cam_0,CAM_ONLY,34.1319,,38.7365,4.6046,,11.8870,,0,,21.94,9.13,warning,-27.49,,CAMERA_ONLY
0,47.2226,cam_0,CAM_ONLY,38.6428,,38.7365,0.0937,,0.2418,,1,,21.94,9.13,slowdown,-16.66,,CAMERA_ONLY
0,47.6811,t14,LIDAR_ONLY,13.6321,13.6321,10.2036,3.4286,3.4286,33.6020,33.6020,0,0,12.83,1.90,cautious,-0.28,front,LIDAR_ONLY
0,47.6811,t15,LIDAR_ONLY,17.9546,17.9546,,,,,,,,12.83,1.90,drive,13.24,front,LIDAR_ONLY
0,47.6811,t14,LIDAR_ONLY,11.0301,11.0301,10.2036,0.8265,0.8265,8.1004,8.1004,1,1,12.83,1.90,slow,3.58,front,LIDAR_ONLY
0,47.6811,t14,LIDAR_ONLY,11.0392,11.0392,10.2036,0.8357,0.8357,8.1903,8.1903,1,1,12.83,1.90,slow,5.05,front,LIDAR_ONLY
0,47.7515,t16,LIDAR_ONLY,20.2975,20.2975,,,,,,,,15.67,7.07,drive,24.88,front,LIDAR_ONLY
0,47.8273,cam_1,CAM_ONLY,52.4856,,51.1382,1.3474,,2.6347,,0,,16.70,3.24,safe,-10.49,,CAMERA_ONLY
0,47.9143,cam_1,CAM_ONLY,39.5954,,51.2772,11.6818,,22.7817,,0,,19.58,9.47,safe,-3.98,,CAMERA_ONLY
0,47.9143,cam_1,CAM_ONLY,50.2263,,51.2772,1.0509,,2.0494,,0,,19.58,9.47,safe,-9.71,,CAMERA_ONLY
0,47.9760,cam_1,CAM_ONLY,42.7167,,51.3220,8.6053,,16.7673,,0,,12.12,1.89,safe,-3.44,,CAMERA_ONLY
0,47.9760,cam_1,CAM_ONLY,52.7566,,51.3220,1.4346,,2.7952,,0,,12.12,1.89,safe,-9.19,,CAMERA_ONLY
0,48.0457,cam_1,CAM_ONLY,50.2085,,51.3838,1.1753,,2.2874,,0,,17.20,5.13,safe,-8.84,,CAMERA_ONLY
0,48.0457,t21,LIDAR_ONLY,12.8523,12.8523,9.1617,3.6906,3.6906,40.2826,40.2826,0,0,17.20,5.13,cautious,6.94,front,LIDAR_ONLY
0,48.0457,t21,LIDAR_ONLY,9.7976,9.7976,9.1617,0.6359,0.6359,6.9405,6.9405,1,1,17.20,5.13,slow,9.78,front,LIDAR_ONLY
0,48.1355,cam_1,CAM_ONLY,44.4188,,51.4182,6.9994,,13.6126,,0,,24.27,8.48,safe,-2.51,,CAMERA_ONLY
0,48.1355,cam_1,CAM_ONLY,53.0108,,51.4182,1.5926,,3.0974,,0,,24.27,8.48,safe,-8.40,,CAMERA_ONLY
0,48.1956,cam_1,CAM_ONLY,52.7929,,51.4241,1.3687,,2.6617,,0,,13.06,5.68,safe,-8.18,,CAMERA_ONLY
0,48.1956,t21,LIDAR_ONLY,9.6483,9.6483,8.7185,0.9297,0.9297,10.6640,10.6640,1,1,13.06,5.68,slow,10.02,front,LIDAR_ONLY
0,48.2742,cam_1,CAM_ONLY,52.3453,,51.4044,0.9409,,1.8305,,1,,14.56,2.44,safe,-8.05,,CAMERA_ONLY
0,48.3503,cam_1,CAM_ONLY,52.3886,,51.3837,1.0049,,1.9556,,0,,13.76,7.27,safe,-8.05,,CAMERA_ONLY
0,48.3503,t28,LIDAR_ONLY,18.7926,18.7926,,,,,,,,13.76,7.27,drive,27.00,front,LIDAR_ONLY
0,48.3503,t21,LIDAR_ONLY,9.5439,9.5439,,,,,,,,13.76,7.27,slow,16.67,front,LIDAR_ONLY
0,48.4149,cam_1,CAM_ONLY,51.6174,,51.3132,0.3042,,0.5929,,1,,12.38,4.19,safe,-8.18,,CAMERA_ONLY
0,48.6473,t35,LIDAR_ONLY,18.1579,18.1579,,,,,,,,19.72,6.25,drive,26.81,front,LIDAR_ONLY
0,48.6473,t38,LIDAR_ONLY,9.2613,9.2613,,,,,,,,19.72,6.25,slow,14.32,front,LIDAR_ONLY
0,48.6473,t38,LIDAR_ONLY,8.0633,8.0633,,,,,,,,19.72,6.25,slow,16.33,front,LIDAR_ONLY
0,48.7977,cam_1,CAM_ONLY,50.2987,,51.2646,0.9659,,1.8842,,1,,20.40,6.45,safe,-7.21,,CAMERA_ONLY
0,48.7977,t38,LIDAR_ONLY,7.8797,7.8797,,,,,,,,20.40,6.45,slow,19.44,front,LIDAR_ONLY
0,48.8767,cam_1,CAM_ONLY,43.9594,,51.2713,7.3119,,14.2613,,0,,21.26,1.81,safe,-0.04,,CAMERA_ONLY
0,48.8767,cam_1,CAM_ONLY,51.8709,,51.2713,0.5996,,1.1694,,1,,21.26,1.81,safe,-6.46,,CAMERA_ONLY
0,48.9867,cam_1,CAM_ONLY,42.0911,,51.2578,9.1667,,17.8836,,0,,20.51,10.39,safe,0.58,,CAMERA_ONLY
0,48.9867,cam_1,CAM_ONLY,48.8400,,51.2578,2.4179,,4.7171,,0,,20.51,10.39,safe,-5.98,,CAMERA_ONLY
0,49.0722,cam_1,CAM_ONLY,49.0497,,51.2318,2.1821,,4.2593,,0,,19.37,12.88,safe,-5.58,,CAMERA_ONLY
0,49.1327,cam_1,CAM_ONLY,50.8234,,51.1937,0.3703,,0.7234,,1,,9.47,1.87,safe,-5.22,,CAMERA_ONLY
0,49.1989,cam_1,CAM_ONLY,50.1899,,51.1300,0.9401,,1.8387,,1,,13.71,7.09,safe,-5.13,,CAMERA_ONLY
0,49.1989,t51,LIDAR_ONLY,6.8396,6.8396,5.6466,1.1929,1.1929,21.1265,21.1265,0,0,13.71,7.09,stop,15.97,front,LIDAR_ONLY
0,49.2716,cam_1,CAM_ONLY,50.7270,,51.0539,0.3269,,0.6403,,1,,21.52,3.08,safe,-5.13,,CAMERA_ONLY
0,49.3258,cam_1,CAM_ONLY,50.8836,,50.9936,0.1100,,0.2157,,1,,10.51,2.56,safe,-5.13,,CAMERA_ONLY
0,49.3916,cam_1,CAM_ONLY,48.7497,,50.9137,2.1641,,4.2505,,0,,12.29,6.57,safe,-5.36,,CAMERA_ONLY
0,49.3916,t54,LIDAR_ONLY,5.9301,5.9301,,,,,,,,12.29,6.57,stop,27.80,front,LIDAR_ONLY
0,49.4574,cam_1,CAM_ONLY,46.5550,,50.8038,4.2488,,8.3632,,0,,12.03,5.23,safe,-5.62,,CAMERA_ONLY
0,49.5227,cam_1,CAM_ONLY,49.3171,,50.7136,1.3965,,2.7538,,0,,13.00,3.05,safe,-5.98,,CAMERA_ONLY
0,49.5806,cam_1,CAM_ONLY,46.2693,,50.6239,4.3546,,8.6018,,0,,9.69,2.08,safe,0.58,,CAMERA_ONLY
0,49.5806,cam_1,CAM_ONLY,48.1832,,50.6239,2.4407,,4.8212,,0,,9.69,2.08,safe,-6.20,,CAMERA_ONLY
0,49.6614,cam_1,CAM_ONLY,48.2869,,50.5911,2.3042,,4.5545,,0,,16.41,4.60,safe,-5.84,,CAMERA_ONLY
0,49.7997,cam_1,CAM_ONLY,47.5601,,50.5362,2.9762,,5.8891,,0,,12.80,7.21,safe,-4.47,,CAMERA_ONLY
0,49.7997,t62,LIDAR_ONLY,4.6172,4.6172,,,,,,,,12.80,7.21,stop,23.82,front,LIDAR_ONLY
0,49.8624,cam_1,CAM_ONLY,45.9805,,50.4601,4.4796,,8.8776,,0,,14.28,6.66,safe,2.95,,CAMERA_ONLY
0,49.8624,cam_1,CAM_ONLY,46.7984,,50.4601,3.6617,,7.2566,,0,,14.28,6.66,safe,-3.89,,CAMERA_ONLY
0,49.9300,cam_1,CAM_ONLY,49.6123,,45.5021,4.1102,,9.0330,,0,,16.83,2.46,safe,-3.31,,CAMERA_ONLY
0,49.9300,cam_1,CAM_ONLY,50.1299,,45.5021,4.6279,,10.1707,,0,,16.83,2.46,safe,3.58,,CAMERA_ONLY
0,50.0015,cam_1,CAM_ONLY,45.9364,,50.3524,4.4161,,8.7703,,0,,15.31,9.29,safe,-2.73,,CAMERA_ONLY
0,50.0766,cam_1,CAM_ONLY,47.3215,,45.5703,1.7512,,3.8428,,0,,15.96,3.18,safe,-2.06,,CAMERA_ONLY
0,50.0766,cam_1,CAM_ONLY,47.5279,,45.5703,1.9576,,4.2958,,0,,15.96,3.18,safe,5.00,,CAMERA_ONLY
0,50.1446,cam_1,CAM_ONLY,47.0608,,50.2225,3.1617,,6.2954,,0,,11.23,10.02,safe,5.36,,CAMERA_ONLY
0,50.1446,cam_1,CAM_ONLY,49.3718,,50.2225,0.8507,,1.6938,,1,,11.23,10.02,safe,-1.66,,CAMERA_ONLY
0,50.2169,cam_1,CAM_ONLY,45.1237,,45.7103,0.5866,,1.2834,,1,,14.06,4.16,safe,-1.12,,CAMERA_ONLY
0,50.2169,cam_1,CAM_ONLY,47.8130,,45.7103,2.1027,,4.6001,,0,,14.06,4.16,safe,6.06,,CAMERA_ONLY
0,50.2815,cam_1,CAM_ONLY,47.8772,,50.0787,2.2014,,4.3959,,0,,17.42,1.84,safe,6.42,,CAMERA_ONLY
0,50.2815,cam_1,CAM_ONLY,48.5436,,50.0787,1.5351,,3.0653,,0,,17.42,1.84,safe,-0.76,,CAMERA_ONLY
0,50.2815,t72,LIDAR_ONLY,7.0315,7.0315,45.7824,38.7509,38.7509,84.6415,84.6415,0,0,17.42,1.84,stop,12.73,front,LIDAR_ONLY
0,50.3531,cam_1,CAM_ONLY,46.3096,,45.8777,0.4319,,0.9415,,1,,16.54,7.97,safe,-0.45,,CAMERA_ONLY
0,50.3531,cam_1,CAM_ONLY,48.0414,,45.8777,2.1637,,4.7163,,0,,16.54,7.97,safe,6.82,,CAMERA_ONLY
0,50.4173,cam_1,CAM_ONLY,46.7108,,49.9309,3.2201,,6.4490,,0,,15.33,2.76,safe,7.26,,CAMERA_ONLY
0,50.4173,cam_1,CAM_ONLY,48.5913,,49.9309,1.3395,,2.6828,,0,,15.33,2.76,safe,-0.04,,CAMERA_ONLY
0,50.4785,cam_1,CAM_ONLY,47.1645,,49.8617,2.6972,,5.4094,,0,,10.33,2.38,safe,7.61,,CAMERA_ONLY
0,50.4785,cam_1,CAM_ONLY,47.4155,,49.8617,2.4463,,4.9061,,0,,10.33,2.38,safe,0.22,,CAMERA_ONLY
0,50.5419,cam_1,CAM_ONLY,46.6128,,46.1188,0.4940,,1.0711,,1,,14.54,6.25,safe,0.27,,CAMERA_ONLY
0,50.5419,cam_1,CAM_ONLY,47.1109,,46.1188,0.9920,,2.1511,,1,,14.54,6.25,safe,7.70,,CAMERA_ONLY
0,50.5419,t80,LIDAR_ONLY,3.4494,3.4494,0.7373,2.7122,2.7122,367.8596,367.8596,0,0,14.54,6.25,emergency_stop,28.31,front,LIDAR_ONLY
0,50.6151,cam_1,CAM_ONLY,47.5014,,49.7025,2.2011,,4.4285,,0,,22.38,5.72,safe,7.79,,CAMERA_ONLY
0,50.6151,cam_1,CAM_ONLY,47.8404,,49.7025,1.8621,,3.7465,,0,,22.38,5.72,safe,0.27,,CAMERA_ONLY
0,50.6774,cam_1,CAM_ONLY,46.7104,,46.2757,0.4347,,0.9393,,1,,13.64,1.24,safe,7.79,,CAMERA_ONLY
0,50.7845,cam_1,CAM_ONLY,48.1101,,46.3874,1.7227,,3.7137,,0,,12.80,1.25,safe,7.57,,CAMERA_ONLY
0,50.8578,cam_1,CAM_ONLY,48.8018,,49.4341,0.6323,,1.2790,,1,,10.65,7.34,safe,7.21,,CAMERA_ONLY
0,50.8578,cam_1,CAM_ONLY,49.1043,,49.4341,0.3298,,0.6671,,1,,10.65,7.34,safe,-0.45,,CAMERA_ONLY
0,50.9205,cam_1,CAM_ONLY,46.7996,,49.2997,2.5000,,5.0711,,0,,12.97,3.23,safe,6.77,,CAMERA_ONLY
0,50.9205,cam_1,CAM_ONLY,48.6300,,49.2997,0.6696,,1.3583,,1,,12.97,3.23,safe,-0.81,,CAMERA_ONLY
0,50.9769,cam_1,CAM_ONLY,46.7746,,49.2277,2.4531,,4.9831,,0,,10.95,2.23,safe,6.99,,CAMERA_ONLY
0,50.9769,cam_1,CAM_ONLY,50.5101,,49.2277,1.2824,,2.6050,,0,,10.95,2.23,safe,-0.63,,CAMERA_ONLY
0,51.0926,cam_1,CAM_ONLY,49.5906,,46.3419,3.2486,,7.0102,,0,,19.96,47.81,safe,-0.45,,CAMERA_ONLY
0,51.0926,cam_1,CAM_ONLY,51.4742,,46.3419,5.1323,,11.0748,,0,,19.96,47.81,safe,7.39,,CAMERA_ONLY
0,51.2778,t96,LIDAR_ONLY,18.5664,18.5664,,,,,,,,13.66,32.63,cautious,24.41,front,LIDAR_ONLY
0,51.2778,t96,LIDAR_ONLY,17.1113,17.1113,,,,,,,,13.66,32.63,cautious,27.03,front,LIDAR_ONLY
0,51.3420,t96,LIDAR_ONLY,17.2951,17.2951,,,,,,,,10.81,10.39,cautious,22.72,front,LIDAR_ONLY
0,51.3420,t96,LIDAR_ONLY,17.4163,17.4163,,,,,,,,10.81,10.39,cautious,25.10,front,LIDAR_ONLY
0,51.3420,t96,LIDAR_ONLY,17.5617,17.5617,,,,,,,,10.81,10.39,cautious,22.03,front,LIDAR_ONLY
0,51.5806,cam_2,CAM_ONLY,48.8737,,47.8981,0.9756,,2.0369,,1,,12.27,1.18,safe,-2.51,,CAMERA_ONLY
0,51.6791,cam_2,CAM_ONLY,49.1570,,45.9519,3.2051,,6.9750,,0,,16.78,21.62,safe,5.93,,CAMERA_ONLY
0,51.7809,cam_2,CAM_ONLY,48.8769,,47.4808,1.3961,,2.9404,,0,,15.71,1.29,safe,7.08,,CAMERA_ONLY
0,51.7809,cam_2,CAM_ONLY,49.4747,,47.4808,1.9939,,4.1994,,0,,15.71,1.29,safe,-1.12,,CAMERA_ONLY
0,51.7809,t104,LIDAR_ONLY,15.5573,15.5573,,,,,,,,15.71,1.29,cautious,27.77,front,LIDAR_ONLY
0,51.7809,t104,LIDAR_ONLY,15.9085,15.9085,,,,,,,,15.71,1.29,cautious,23.12,front,LIDAR_ONLY
0,51.7809,t104,LIDAR_ONLY,16.2010,16.2010,,,,,,,,15.71,1.29,cautious,24.73,front,LIDAR_ONLY
0,51.9653,cam_2,CAM_ONLY,48.7285,,47.1028,1.6257,,3.4514,,0,,10.43,3.39,safe,8.92,,CAMERA_ONLY
0,51.9653,cam_2,CAM_ONLY,50.9010,,47.1028,3.7982,,8.0636,,0,,10.43,3.39,safe,0.40,,CAMERA_ONLY
0,52.0335,cam_2,CAM_ONLY,47.0917,,45.7266,1.3651,,2.9854,,0,,17.66,1.46,safe,9.19,,CAMERA_ONLY
0,52.1338,cam_2,CAM_ONLY,46.8963,,45.7032,1.1931,,2.6106,,0,,16.33,31.63,safe,9.75,,CAMERA_ONLY
0,52.2314,cam_2,CAM_ONLY,50.0794,,46.5845,3.4949,,7.5023,,0,,16.77,33.95,safe,10.45,,CAMERA_ONLY
