frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,51.5895,33.4001,14.8403,33.1049,0.2952,18.2646,11.36,2.18
2,51.6537,32.9137,,32.9862,0.0725,,16.86,3.95
3,51.7157,32.3379,,32.8016,0.4636,,11.31,4.91
4,51.7800,,19.4108,32.5601,,13.1493,13.12,2.35
5,51.8413,,,32.2608,,,10.53,3.05
6,51.9176,,,31.9459,,,14.89,9.73
7,51.9795,35.6955,18.2222,31.9089,3.7866,13.6867,12.34,2.40
8,52.0517,,,32.0091,,,16.29,4.92
9,52.1237,,,32.1634,,,18.88,11.94
10,52.1929,34.4466,,32.2990,2.1477,,22.13,3.18
11,52.2785,33.1863,,32.4558,0.7305,,23.97,6.54
12,52.3327,34.8687,18.6951,32.5493,2.3194,13.8542,11.95,2.12
13,52.3941,36.2833,,32.6496,3.6336,,17.84,3.38
14,52.4589,36.0725,,32.7653,3.3072,,13.58,5.88
15,52.5276,35.4503,,32.8787,2.5717,,13.11,7.89
16,52.5959,,,32.9778,,,18.50,3.77
17,52.6514,34.9377,,33.0796,1.8581,,9.69,4.06
18,52.7510,33.6517,,33.2308,0.4209,,13.79,35.55
19,52.8113,36.6653,,33.3125,3.3528,,11.39,5.10
20,52.9120,34.2835,,33.4496,0.8339,,16.20,41.16
21,53.0128,,,33.5870,,,10.41,45.01
22,53.1367,32.2316,,33.7434,1.5118,,11.75,62.62
23,53.2052,33.4784,,33.8216,0.3432,,11.51,4.82
24,53.3579,34.2122,,33.9608,0.2514,,17.95,84.17
25,53.4385,,,34.0769,,,12.22,22.84
26,53.5004,,,34.1695,,,12.34,5.57
27,53.5591,,,34.2518,,,9.66,4.14
28,53.6231,35.8954,,34.3547,1.5407,,16.73,5.21
29,53.6811,36.7392,,34.4357,2.3034,,10.26,7.28
30,53.7654,37.7175,,34.5767,3.1408,,19.76,10.20
31,53.8374,,,34.6718,,,19.22,8.63
32,53.8977,34.6814,,34.7785,0.0971,,9.30,3.78
33,53.9679,35.0252,,34.9101,0.1151,,15.67,7.75
34,54.0276,34.9182,,35.0243,0.1061,,9.25,4.71
35,54.0891,37.9098,,35.1414,2.7685,,10.04,2.36
36,54.1757,38.5244,10.8541,35.3598,3.1646,24.5057,20.75,6.41
37,54.2440,38.3816,,35.5301,2.8515,,12.43,4.84
38,54.3038,37.7817,,35.6917,2.0900,,14.61,3.95
39,54.3728,37.2817,,35.8841,1.3976,,15.93,6.39
40,54.4275,37.0928,14.4907,36.0275,1.0653,21.5368,12.52,3.45
41,54.5002,37.3381,,36.3340,1.0041,,15.03,6.43
42,54.5796,39.5803,15.4535,36.6710,2.9093,21.2175,15.49,3.37
43,54.6631,39.3566,,37.0995,2.2571,,15.07,7.27
44,54.7313,40.1415,16.9041,37.4359,2.7057,20.5318,12.83,2.46
45,54.7889,40.5867,19.4693,37.6825,2.9043,18.2132,11.43,2.63
46,54.8543,40.5483,,37.9297,2.6186,,16.87,4.70
