frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,22.6850,,,41.8915,,,14.26,1.04
2,22.7573,,,41.8915,,,16.04,1.36
3,22.8222,,,41.8915,,,12.16,1.18
4,22.8796,,,41.8915,,,10.54,1.14
5,22.9324,,,41.8915,,,10.98,0.82
6,22.9980,,,41.8915,,,13.46,1.49
7,23.0623,,,41.8915,,,11.61,1.22
8,23.1250,,,41.8915,,,13.45,1.23
9,23.1926,,9.8970,41.8915,,31.9945,11.81,1.07
10,23.2543,,,41.8915,,,9.21,1.26
11,23.3162,,,41.8915,,,14.84,0.99
12,23.3754,,,41.8915,,,12.35,1.12
13,23.4415,,9.7549,41.8915,,32.1367,11.63,1.33
14,23.5080,,,41.8915,,,16.28,1.12
15,23.5718,,,41.8849,,,10.82,1.07
16,23.6474,27.2432,11.6819,41.8068,14.5636,30.1250,18.82,1.36
17,23.7174,,,41.6844,,,10.91,0.85
18,23.7958,27.3226,,41.5078,14.1852,,21.90,1.18
19,23.8582,26.6617,,41.3666,14.7049,,9.62,1.28
20,23.9193,,,41.2222,,,9.44,0.94
21,23.9811,26.6295,,41.0269,14.3975,,13.67,1.18
22,24.0503,26.4997,,40.8510,14.3513,,15.23,1.17
23,24.1163,26.7920,,40.6711,13.8792,,13.65,0.82
24,24.1772,,,40.4948,,,12.01,1.21
25,24.2528,26.7290,11.8060,40.3227,13.5936,28.5167,15.19,1.24
26,24.3192,,,40.1203,,,12.24,0.91
27,24.3824,,13.1448,39.9384,,26.7937,15.52,0.97
28,24.4398,,13.7336,39.8035,,26.0699,9.27,0.83
29,24.5119,,,39.6108,,,16.90,1.27
30,24.5777,25.8963,,39.4405,13.5443,,12.65,1.22
31,24.6551,,,39.2506,,,18.00,1.19
32,24.7159,,,39.0675,,,11.28,0.96
33,24.7756,,,38.9323,,,9.59,1.15
34,24.8367,,14.5534,38.7620,,24.2086,11.54,0.94
35,24.9029,,,38.5520,,,14.06,1.20
36,24.9902,25.4084,,38.2893,12.8809,,24.57,2.38
37,25.0536,25.4911,,38.1230,12.6319,,14.24,1.02
38,25.1134,25.3239,,37.9316,12.6077,,14.49,1.06
39,25.1705,,,37.7264,,,8.82,1.01
40,25.2333,24.8308,,37.5661,12.7353,,12.63,1.05
41,25.2946,,13.1760,37.3872,,24.2112,9.91,1.35
42,25.3637,,,37.1708,,,13.52,1.32
43,25.4212,25.0375,,37.0395,12.0020,,10.23,0.94
44,25.4826,,,36.8547,,,10.18,0.91
45,25.5402,,9.3440,36.6908,,27.3467,9.70,1.11
46,25.6043,,,36.5111,,,11.94,1.06
47,25.6662,,,36.3107,,,10.71,1.49
48,25.7305,,,36.1047,,,15.21,0.72
49,25.7920,,8.5229,35.9151,,27.3922,12.38,1.32
50,25.8600,,,35.6789,,,19.54,2.41
51,25.9218,,,35.5193,,,11.31,1.72
52,25.9885,,45.6240,35.3121,,10.3119,16.46,0.92
53,26.0620,,,35.0460,,,21.23,1.26
54,26.1302,,,34.8261,,,14.37,1.06
55,26.2013,,8.1010,34.5467,,26.4458,16.93,1.32
56,26.2608,,,34.3547,,,10.52,1.22
57,26.3189,,,34.1293,,,10.25,0.94
58,26.3822,,,33.8474,,,8.32,0.98
59,26.4429,,10.5128,33.6465,,23.1337,12.75,1.49
60,26.5155,,,33.3512,,,13.42,0.84
61,26.5744,,,33.1208,,,9.15,1.12
62,26.6412,,10.0480,32.8048,,22.7568,12.22,1.11
63,26.7160,,,32.5340,,,14.76,0.88
64,26.7841,,20.4307,32.2374,,11.8067,17.46,0.97
65,26.8571,,,31.9104,,,17.44,2.49
66,26.9205,54.0669,,31.6417,22.4251,,12.03,0.95
67,26.9817,53.9218,,31.3740,22.5479,,13.72,0.91
68,27.0427,53.0724,9.3155,31.1372,21.9353,21.8217,12.40,1.23
69,27.1078,21.9959,,30.8451,8.8492,,12.21,1.25
70,27.1763,52.9822,,30.5405,22.4417,,14.77,1.06
71,27.2367,52.2834,11.0270,30.2478,22.0356,19.2209,12.70,1.01
72,27.2978,51.5746,,29.9774,21.5973,,10.52,1.25
73,27.3826,50.0085,,29.6052,20.4033,,15.39,0.97
74,27.4567,21.2532,,29.2751,8.0219,,22.24,1.47
75,27.5237,,,28.9896,,,12.48,2.02
76,27.5920,,9.3860,28.6748,,19.2888,14.19,1.22
77,27.6586,47.6034,,28.3575,19.2459,,13.17,0.91
78,27.7139,47.3098,,28.1111,19.1987,,9.97,0.92
79,27.7759,47.3304,,27.8844,19.4460,,11.19,1.09
80,27.8450,46.8126,11.8825,27.5704,19.2421,15.6879,14.46,1.28
81,27.9053,46.4810,,27.2666,19.2144,,10.36,1.27
82,27.9655,46.1866,,27.0437,19.1429,,11.12,0.97
83,28.0342,46.1456,,26.7242,19.4214,,16.04,0.82
84,28.0959,45.7014,9.1376,26.4511,19.2504,17.3134,11.86,1.25
85,28.1624,45.1650,,26.0940,19.0710,,14.20,2.43
86,28.2204,18.6227,,25.8668,7.2441,,12.35,0.83
87,28.2791,44.7262,,25.5847,19.1415,,9.44,1.00
88,28.3411,44.4334,,25.2750,19.1584,,13.07,0.81
89,28.4003,44.7446,,25.0295,19.7151,,10.62,1.08
90,28.4748,18.3205,,24.6938,6.3733,,13.74,1.28
91,28.5365,17.8930,16.3873,24.3988,6.5058,8.0114,12.55,0.80
92,28.5991,18.0644,,24.1044,6.0400,,10.28,0.97
93,28.6811,17.4058,,23.6899,6.2842,,23.04,1.75
94,28.7585,17.0679,,23.3659,6.2980,,21.85,0.87
95,28.8185,16.9494,,23.1187,6.1693,,9.23,1.69
96,28.8787,40.0638,,22.8794,17.1844,,11.49,2.35
97,28.9396,39.5941,10.9164,22.6779,16.9162,11.7615,10.96,1.01
98,29.0030,39.2413,,22.4126,16.8287,,9.38,1.08
99,29.0657,38.7746,,22.2206,16.5540,,9.48,1.14
100,29.1199,38.4427,,22.0109,16.4318,,9.20,1.09
101,29.1815,38.0622,,21.7809,16.2813,,9.29,0.93
102,29.2427,37.9381,14.1391,21.5270,16.4111,7.3879,10.24,0.86
103,29.3035,37.5117,,21.3191,16.1925,,10.31,1.08
104,29.3705,37.1181,,21.0448,16.0732,,18.08,0.87
105,29.4386,37.2756,9.5402,20.7684,16.5072,11.2282,15.36,0.99
106,29.5016,37.0572,,20.5045,16.5526,,16.32,1.13
107,29.5612,37.2654,,20.2218,17.0436,,9.09,1.24
108,29.6282,36.4712,,19.9313,16.5400,,13.50,1.30
109,29.7000,34.7273,,19.6472,15.0800,,20.28,1.10
110,29.7606,35.0150,,19.3800,15.6349,,9.74,1.11
111,29.8150,34.1859,,19.1032,15.0827,,8.67,1.29
112,29.8776,33.2691,,18.8542,14.4149,,13.27,1.23
113,29.9496,32.8969,9.4432,18.5420,14.3548,9.0988,17.19,1.31
114,30.0179,33.1547,,18.2102,14.9445,,17.91,1.11
115,30.0813,32.1969,,17.9144,14.2825,,11.91,1.57
116,30.1528,31.5289,,17.6441,13.8849,,19.97,1.31
117,30.2189,31.7709,,17.3458,14.4250,,15.79,0.88
118,30.2791,31.4954,,17.0883,14.4072,,9.70,0.97
119,30.3433,31.2526,9.9301,16.8168,14.4358,6.8867,10.30,1.31
120,30.4078,30.5922,,16.5212,14.0711,,13.94,1.05
121,30.4678,30.6165,,16.2583,14.3583,,8.70,0.91
122,30.5252,29.1444,,16.0584,13.0859,,10.48,1.14
123,30.5942,28.8168,10.5719,15.7850,13.0318,5.2131,19.54,1.28
124,30.6619,27.3778,,15.5290,11.8488,,17.39,0.94
125,30.7281,26.5189,,15.3011,11.2178,,16.79,1.32
126,30.7953,26.5245,9.3323,15.0578,11.4668,5.7254,14.33,1.31
127,30.8640,25.9324,,14.8227,11.1097,,11.81,0.86
128,30.9202,25.7790,,14.6447,11.1343,,10.18,1.17
129,30.9833,25.7359,,14.4498,11.2861,,11.69,0.78
130,31.0445,25.1681,9.5431,14.2662,10.9019,4.7231,10.59,1.17
131,31.1082,25.1224,,14.0525,11.0699,,10.83,1.27
132,31.1702,24.9975,,13.9038,11.0936,,13.20,1.15
133,31.2478,25.1572,10.5336,13.6968,11.4604,3.1632,15.92,1.24
134,31.3218,25.1944,,13.5067,11.6877,,20.45,1.13
135,31.3843,24.3765,,13.3492,11.0272,,14.87,0.94
136,31.4466,24.0949,11.9011,13.2040,10.8909,1.3029,11.52,1.27
137,31.5090,23.9322,,13.0598,10.8724,,10.19,1.23
138,31.5730,23.5644,,12.9195,10.6449,,13.21,0.93
139,31.6352,23.4392,6.4006,12.7891,10.6502,6.3884,9.96,1.10
140,31.7060,23.3445,,12.6467,10.6978,,14.30,1.22
141,31.7908,22.9999,10.8760,12.4876,10.5123,1.6116,22.37,1.27
142,31.8515,22.7290,,12.3851,10.3440,,9.91,1.06
143,31.9175,22.5045,,12.2681,10.2364,,16.70,0.89
144,31.9833,22.2651,12.8785,12.1642,10.1009,0.7142,15.35,0.86
145,32.0514,21.9291,,12.1374,9.7917,,14.61,1.30
146,32.1206,21.8755,,12.1362,9.7392,,18.25,1.08
147,32.1930,21.8744,10.1633,12.1274,9.7470,1.9641,15.42,2.47
148,32.2594,21.9691,,12.1113,9.8578,,12.79,1.19
149,32.3170,22.0750,,12.0886,9.9864,,11.32,0.90
150,32.3752,22.1004,,12.0571,10.0433,,9.19,1.06
151,32.4345,22.0607,,12.0176,10.0432,,13.40,1.11
152,32.5043,21.9069,12.1077,11.9602,9.9467,0.1475,19.37,2.75
153,32.5802,21.8092,,11.9187,9.8904,,18.81,0.89
154,32.6489,22.1836,,11.9163,10.2673,,14.90,1.21
155,32.7204,22.0074,,11.9031,10.1043,,16.69,0.88
156,32.7838,21.9537,,11.8793,10.0745,,11.35,0.82
157,32.8538,21.7596,,11.8389,9.9207,,17.04,1.20
158,32.9170,21.7987,,11.7909,10.0078,,10.36,1.25
159,32.9793,21.6968,,11.7349,9.9620,,12.96,1.04
160,33.0497,21.6633,,11.6984,9.9649,,19.60,1.29
161,33.1218,21.7688,,11.6978,10.0709,,17.39,0.86
162,33.1798,21.8564,,11.6908,10.1656,,9.80,0.90
163,33.2469,21.9833,11.6459,11.6717,10.3116,0.0258,11.95,1.26
164,33.3165,21.9508,,11.6432,10.3076,,17.55,0.92
165,33.3740,21.7871,,11.6106,10.1765,,11.21,1.27
166,33.4322,21.7959,,11.5716,10.2242,,10.67,0.73
167,33.4971,21.3328,10.8268,11.5184,9.8144,0.6917,10.95,1.41
