frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,11.1901,,20.2391,42.6324,,22.3933,18.57,3.86
2,11.2651,,,42.6324,,,17.64,10.89
3,11.3261,,,42.6324,,,9.88,3.52
4,11.3876,,,42.6324,,,10.90,2.01
5,11.4532,,17.8616,42.6324,,24.7709,10.82,9.38
6,11.5310,,,42.6324,,,13.12,2.11
7,11.6176,,,42.6324,,,17.71,16.97
8,11.6884,,,42.6324,,,19.67,2.93
9,11.7666,,,42.6324,,,12.58,10.21
10,11.8382,,18.0571,42.6324,,24.5753,11.88,2.96
11,11.9148,,,42.6324,,,12.12,13.04
12,11.9799,,,42.6229,,,14.85,3.43
13,12.0337,,,42.5664,,,10.65,1.21
14,12.1016,,,42.4425,,,14.71,9.48
15,12.1782,46.6506,,42.2810,4.3697,,20.38,6.79
16,12.2429,43.8548,10.4244,42.1148,1.7400,31.6904,12.74,2.42
17,12.3059,,,41.9333,,,10.42,10.82
18,12.3674,,,41.7909,,,12.00,6.37
19,12.4345,43.4134,,41.5875,1.8259,,17.86,0.94
20,12.4915,44.2796,12.7084,41.3936,2.8860,28.6851,9.62,1.86
21,12.5667,47.3806,,41.1493,6.2313,,15.99,15.48
22,12.6343,,,40.9133,,,17.14,2.63
23,12.7013,,12.9681,40.7020,,27.7339,17.68,6.20
24,12.7835,43.4204,,40.3902,3.0303,,17.23,4.45
25,12.8667,44.9568,,40.0996,4.8571,,21.65,12.82
26,12.9369,,15.2718,39.8377,,24.5659,22.99,2.26
27,13.0163,,,39.5693,,,16.29,11.48
28,13.0732,,,39.3476,,,8.93,4.54
29,13.1454,,11.9530,39.0569,,27.1039,20.27,3.39
30,13.2096,,,38.7814,,,10.20,10.93
31,13.2704,,,38.5705,,,9.40,9.28
32,13.3290,,,38.3112,,,9.06,3.81
33,13.4089,,,38.0098,,,21.21,13.03
34,13.4786,41.6922,,37.6803,4.0119,,16.27,10.56
35,13.5338,,,37.4568,,,9.70,4.15
36,13.6022,,17.1181,37.1591,,20.0410,18.92,8.80
37,13.6742,,,36.8310,,,13.64,5.11
38,13.7359,,14.1992,36.5351,,22.3359,14.56,1.57
39,13.8155,39.5787,,36.1197,3.4590,,15.76,13.06
40,13.8813,41.7660,,35.8090,5.9570,,12.72,2.15
41,13.9682,41.4658,,35.3689,6.0969,,14.80,9.82
42,14.0376,38.8714,14.2559,35.0488,3.8227,20.7928,11.84,1.56
43,14.1149,,,34.6297,,,10.33,9.55
44,14.1845,37.1794,15.7741,34.2386,2.9409,18.4645,13.15,5.70
45,14.2474,,16.3509,33.9790,,17.6281,10.59,6.04
46,14.3257,38.9263,,33.5001,5.4263,,21.13,5.24
47,14.3925,36.7932,10.1147,33.1765,3.6167,23.0617,11.70,2.04
48,14.4706,36.3023,,32.7869,3.5154,,20.08,9.37
49,14.5576,35.1297,17.4013,32.3585,2.7712,14.9572,18.71,13.16
50,14.6219,34.0074,,32.0543,1.9531,,12.73,4.69
51,14.6834,33.7284,10.2341,31.7602,1.9682,21.5261,11.37,2.66
52,14.7800,33.2178,,31.3226,1.8952,,10.10,3.34
53,14.8373,33.2013,10.1718,31.0646,2.1367,20.8929,14.16,2.10
54,14.9159,32.7661,,30.7255,2.0406,,18.66,15.38
55,14.9999,31.7763,18.5533,30.3662,1.4101,11.8129,16.39,8.61
56,15.0726,30.5297,,30.0672,0.4625,,14.34,6.57
57,15.1436,30.2796,14.3649,29.7988,0.4808,15.4338,14.33,3.78
58,15.2202,30.3337,,29.4778,0.8560,,12.85,14.00
59,15.3072,,17.8547,29.1208,,11.2661,15.78,12.26
60,15.3797,,,28.8370,,,12.98,4.29
61,15.4508,32.0669,17.8885,28.5586,3.5083,10.6701,15.97,9.00
62,15.5315,30.6905,,28.2633,2.4273,,19.86,3.69
63,15.6024,30.3428,17.8552,28.0224,2.3203,10.1673,16.29,7.23
64,15.6814,29.4607,,27.7048,1.7559,,24.90,3.73
65,15.7536,29.0784,18.1347,27.4475,1.6309,9.3128,14.91,8.37
66,15.8349,28.1229,,27.1359,0.9870,,20.52,3.08
67,15.9207,28.0259,,26.8277,1.1982,,20.48,16.29
68,15.9901,27.9937,16.9273,26.5914,1.4023,9.6641,18.68,2.75
69,16.0706,28.4040,,26.3358,2.0683,,10.51,14.06
70,16.1335,28.7512,26.2983,26.1574,2.5938,0.1408,13.50,2.63
71,16.2157,28.2442,,25.8939,2.3503,,13.74,10.59
72,16.2819,27.7992,,25.7025,2.0967,,11.70,2.82
73,16.3681,27.6729,,25.4137,2.2593,,16.91,14.35
74,16.4285,27.1897,,25.2464,1.9433,,10.19,4.97
75,16.5192,27.3242,,24.9848,2.3394,,21.90,16.05
76,16.6073,26.5170,,24.7497,1.7672,,14.75,13.94
77,16.6817,26.5825,22.2770,24.5621,2.0204,2.2850,16.70,2.14
78,16.7733,,,24.3119,,,18.31,16.23
79,16.8707,,,24.0788,,,14.48,18.18
80,16.9623,26.6476,,23.8377,2.8099,,16.34,14.82
81,17.0369,26.0413,16.2318,23.6536,2.3877,7.4218,18.26,2.20
82,17.1182,26.1055,,23.4143,2.6913,,11.59,11.00
83,17.1859,26.1465,,23.2240,2.9225,,9.97,3.34
84,17.2711,26.1971,,22.9978,3.1994,,20.75,16.70
85,17.3407,25.2801,23.0646,22.8318,2.4482,0.2328,10.65,2.27
86,17.4276,23.7322,,22.6079,1.1243,,19.54,8.11
87,17.4840,24.6358,22.9475,22.4841,2.1517,0.4634,9.98,1.09
88,17.5632,24.7094,,22.2914,2.4180,,12.88,14.10
89,17.6235,24.5477,,22.1852,2.3625,,11.03,3.11
90,17.7194,24.0871,,21.9795,2.1076,,21.74,17.12
91,17.7947,22.8101,22.0622,21.8331,0.9771,0.2291,14.22,5.46
92,17.8645,23.3771,,21.7247,1.6525,,10.26,11.20
93,17.9304,23.4580,,21.6116,1.8464,,12.46,3.50
94,17.9892,23.3125,12.8137,21.5198,1.7927,8.7061,9.56,1.71
95,18.0624,23.5182,,21.4671,2.0511,,12.79,13.27
96,18.1275,23.4460,,21.4057,2.0402,,10.77,3.25
97,18.1911,23.1379,10.7898,21.3442,1.7936,10.5545,11.18,2.85
98,18.2728,23.2549,,21.2487,2.0062,,15.75,4.13
99,18.3574,23.2842,,21.1533,2.1308,,23.37,11.40
100,18.4421,23.2791,,21.0367,2.2424,,23.23,5.78
101,18.5200,23.4427,,20.9259,2.5168,,13.35,2.92
102,18.5831,23.3737,31.4608,20.8229,2.5508,10.6379,10.94,1.87
103,18.6698,,,20.7334,,,18.25,11.03
104,18.7316,,31.3641,20.7214,,10.6428,9.73,2.17
105,18.7992,,,20.7108,,,10.45,7.57
106,18.8679,,,20.6892,,,12.04,4.64
107,18.9308,,,20.6565,,,12.09,3.15
