frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,47.1458,32.7170,,49.7907,17.0738,,14.88,5.74
2,47.2222,34.1319,,49.4362,15.3044,,21.94,9.13
3,47.2933,,,49.1728,,,10.43,4.91
4,47.3507,,,49.0286,,,11.81,3.50
5,47.4214,,,49.1231,,,14.37,3.68
6,47.4799,,,49.3911,,,17.76,1.87
7,47.5466,,,49.7202,,,12.05,5.84
8,47.6254,,,50.2885,,,18.30,3.98
9,47.6807,,11.0301,50.5806,,39.5506,12.83,1.90
10,47.7511,,20.2975,50.9323,,30.6348,15.67,7.07
11,47.8266,52.4856,,51.1382,1.3474,,16.70,3.24
12,47.9139,39.5954,,51.2491,11.6538,,19.58,9.47
13,47.9756,42.7167,,51.3220,8.6053,,12.12,1.89
14,48.0453,50.2085,9.7976,51.3838,1.1753,41.5862,17.20,5.13
15,48.1349,44.4188,,51.4182,6.9994,,24.27,8.48
16,48.1952,52.7929,9.6483,51.4241,1.3687,41.7759,13.06,5.68
17,48.2738,52.3453,,51.4044,0.9409,,14.56,2.44
18,48.3499,52.3886,9.5439,51.3645,1.0241,41.8206,13.76,7.27
19,48.4145,51.6174,,51.3132,0.3042,,12.38,4.19
20,48.5054,,,51.2217,,,19.37,7.57
21,48.5747,,,51.1748,,,21.07,4.85
22,48.6469,,8.0633,51.2111,,43.1478,19.72,6.25
23,48.7266,,,51.2421,,,19.02,2.85
24,48.7973,50.2987,7.8797,51.2646,0.9659,43.3849,20.40,6.45
25,48.8759,43.9594,,51.2713,7.3119,,21.26,1.81
26,48.9861,42.0911,,51.2578,9.1667,,20.51,10.39
27,49.0718,49.0497,,51.2318,2.1821,,19.37,12.88
28,49.1323,50.8234,,51.1937,0.3703,,9.47,1.87
29,49.1985,50.1899,6.8396,51.1300,0.9401,44.2904,13.71,7.09
30,49.2712,50.7270,,51.0539,0.3269,,21.52,3.08
31,49.3255,50.8836,,50.9936,0.1100,,10.51,2.56
32,49.3912,48.7497,5.9301,50.9137,2.1641,44.9836,12.29,6.57
33,49.4570,46.5550,,50.8038,4.2488,,12.03,5.23
34,49.5223,49.3171,,50.7136,1.3965,,13.00,3.05
35,49.5803,46.2693,,50.6239,4.3546,,9.69,2.08
36,49.6610,48.2869,,50.5911,2.3042,,16.41,4.60
37,49.7340,,,50.5580,,,21.02,3.20
38,49.7992,47.5601,4.6172,50.5174,2.9573,45.9001,12.80,7.21
39,49.8620,45.9805,,50.4601,4.4796,,14.28,6.66
40,49.9296,49.6123,,50.4058,0.7935,,16.83,2.46
41,50.0011,45.9364,,50.3524,4.4161,,15.31,9.29
42,50.0763,47.3215,,50.2945,2.9731,,15.96,3.18
43,50.1443,47.0608,,50.2225,3.1617,,11.23,10.02
44,50.2165,45.1237,,50.1436,5.0199,,14.06,4.16
45,50.2811,47.8772,7.0315,50.0787,2.2014,43.0472,17.42,1.84
46,50.3527,46.3096,,49.9943,3.6846,,16.54,7.97
47,50.4169,46.7108,,49.9309,3.2201,,15.33,2.76
48,50.4781,47.1645,,49.8617,2.6972,,10.33,2.38
49,50.5415,46.6128,3.4494,49.7924,3.1796,46.3430,14.54,6.25
50,50.6147,47.5014,,49.7025,2.2011,,22.38,5.72
51,50.6770,46.7104,,49.6321,2.9217,,13.64,1.24
52,50.7841,48.1101,,49.5158,1.4057,,12.80,1.25
53,50.8574,48.8018,,49.4124,0.6106,,10.65,7.34
54,50.9202,46.7996,,49.2997,2.5000,,12.97,3.23
55,50.9765,46.7746,,49.2277,2.4531,,10.95,2.23
56,51.0921,49.5906,,49.0196,0.5709,,19.96,47.81
57,51.1878,,,48.8397,,,16.97,24.98
58,51.2775,,17.1113,48.6339,,31.5225,13.66,32.63
59,51.3416,,17.2951,48.4918,,31.1966,10.81,10.39
60,51.4564,,,48.2184,,,11.35,62.73
61,51.5268,,,48.0309,,,17.41,3.06
62,51.5802,48.8737,,47.8981,0.9756,,12.27,1.18
63,51.6788,49.1570,,47.6807,1.4764,,16.78,21.62
64,51.7805,48.8769,15.5573,47.4808,1.3961,31.9235,15.71,1.29
65,51.9028,,,47.2243,,,15.99,55.52
66,51.9649,48.7285,,47.1028,1.6257,,10.43,3.39
67,52.0330,47.0917,,46.9675,0.1241,,17.66,1.46
68,52.1335,46.8963,,46.7599,0.1364,,16.33,31.63
69,52.2310,50.0794,,46.5845,3.4949,,16.77,33.95
70,52.3085,,,46.4485,,,12.26,14.88
71,52.3700,47.8549,,46.3566,1.4983,,13.49,2.68
72,52.4362,50.4645,,46.2487,4.2159,,18.87,1.72
73,52.5269,,,46.0832,,,17.25,25.48
74,52.5825,,,45.9858,,,10.16,1.17
75,52.6395,,19.8375,45.9053,,26.0679,11.82,2.58
76,52.7070,49.0586,,45.7850,3.2735,,13.78,10.47
77,52.7724,50.2265,,45.6785,4.5480,,13.58,2.87
78,52.8307,50.6877,,45.5799,5.1078,,13.89,3.06
79,52.9067,45.9821,,45.4310,0.5511,,13.28,8.66
80,52.9789,,,45.3134,,,15.97,1.61
81,53.0616,,,45.1444,,,19.74,11.86
82,53.1525,53.1209,,44.9034,8.2175,,24.10,9.07
83,53.2215,51.9808,,44.6973,7.2835,,18.50,3.76
84,53.2753,,,44.5319,,,10.17,2.78
