frame,timestamp_s,obstacle_id,detection_source,cam_dist_m,lidar_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_rel_error_pct,lidar_rel_error_pct,cam_within_1m,lidar_within_1m,cam_latency_ms,lidar_latency_ms,danger_level,angle_deg,sector,match_method
0,13.6575,t11,LIDAR_ONLY,10.6252,10.6252,42.7123,32.0872,32.0872,75.1239,75.1239,0,0,14.91,1.34,slow,27.41,front,LIDAR_ONLY
0,13.6575,t11,LIDAR_ONLY,11.0970,11.0970,42.7123,31.6154,31.6154,74.0193,74.0193,0,0,14.91,1.34,slow,19.16,front,LIDAR_ONLY
0,13.6575,t11,LIDAR_ONLY,11.9752,11.9752,42.7123,30.7372,30.7372,71.9632,71.9632,0,0,14.91,1.34,slow,15.03,front,LIDAR_ONLY
0,13.6575,t11,LIDAR_ONLY,12.4158,12.4158,42.7123,30.2965,30.2965,70.9315,70.9315,0,0,14.91,1.34,slow,23.28,front,LIDAR_ONLY
0,13.9614,cam_0,CAM_ONLY,41.3313,,40.9563,0.3751,,0.9158,,1,,15.38,1.31,safe,,,CAMERA_ONLY
0,13.9614,t23,LIDAR_ONLY,9.3636,9.3636,40.9563,31.5926,31.5926,77.1374,77.1374,0,0,15.38,1.31,stop,26.51,front,LIDAR_ONLY
0,13.9614,t23,LIDAR_ONLY,9.6615,9.6615,40.9563,31.2948,31.2948,76.4103,76.4103,0,0,15.38,1.31,stop,18.24,front,LIDAR_ONLY
0,13.9614,t23,LIDAR_ONLY,10.2270,10.2270,40.9563,30.7292,30.7292,75.0294,75.0294,0,0,15.38,1.31,stop,14.11,front,LIDAR_ONLY
0,13.9614,t23,LIDAR_ONLY,10.5775,10.5775,40.9563,30.3788,30.3788,74.1738,74.1738,0,0,15.38,1.31,stop,22.38,front,LIDAR_ONLY
0,14.1246,cam_0,CAM_ONLY,38.7977,,39.9237,1.1260,,2.8204,,0,,10.18,1.33,slowdown,,,CAMERA_ONLY
0,14.4622,cam_0,CAM_ONLY,36.0888,,37.9760,1.8872,,4.9694,,0,,12.16,1.22,slowdown,,,CAMERA_ONLY
0,14.4622,t34,LIDAR_ONLY,10.1052,10.1052,37.9760,27.8708,27.8708,73.3905,73.3905,0,0,12.16,1.22,slow,23.33,front,LIDAR_ONLY
0,14.4622,t34,LIDAR_ONLY,9.4129,9.4129,37.9760,28.5631,28.5631,75.2136,75.2136,0,0,12.16,1.22,stop,27.51,front,LIDAR_ONLY
0,14.5814,cam_0,CAM_ONLY,37.1145,,37.3652,0.2508,,0.6711,,1,,8.74,1.08,slowdown,,,CAMERA_ONLY
0,14.6413,cam_0,CAM_ONLY,34.9147,,37.0951,2.1804,,5.8778,,0,,12.72,1.19,slowdown,,,CAMERA_ONLY
0,14.7061,t43,BOTH,36.2718,23.5835,36.7791,0.5073,13.1957,1.3793,35.8781,1,0,15.64,1.26,slowdown,,,FULL_ANGLE
0,14.7061,t42,LIDAR_ONLY,10.9659,10.9659,36.7791,25.8132,25.8132,70.1844,70.1844,0,0,15.64,1.26,slow,23.27,front,LIDAR_ONLY
0,14.7061,t42,LIDAR_ONLY,10.2155,10.2155,36.7791,26.5636,26.5636,72.2248,72.2248,0,0,15.64,1.26,slow,27.46,front,LIDAR_ONLY
0,14.7061,t42,LIDAR_ONLY,10.3962,10.3962,36.7791,26.3829,26.3829,71.7333,71.7333,0,0,15.64,1.26,slow,19.07,front,LIDAR_ONLY
0,14.7690,cam_0,CAM_ONLY,33.7736,,36.4802,2.7065,,7.4191,,0,,13.81,1.22,slowdown,,,CAMERA_ONLY
0,14.8992,t43,BOTH,34.6776,21.3753,35.8631,1.1855,14.4878,3.3055,40.3974,0,0,21.59,0.82,slowdown,,,FULL_ANGLE
0,14.9516,t43,BOTH,32.9062,18.5863,35.6096,2.7033,17.0232,7.5916,47.8052,0,0,11.51,1.05,slowdown,,,FULL_ANGLE
0,14.9516,t47,LIDAR_ONLY,10.1251,10.1251,35.6096,25.4845,25.4845,71.5664,71.5664,0,0,11.51,1.05,slow,27.97,front,LIDAR_ONLY
0,14.9516,t43,LIDAR_ONLY,18.5522,18.5522,35.6096,17.0574,17.0574,47.9011,47.9011,0,0,11.51,1.05,cautious,19.61,front,LIDAR_ONLY
0,14.9516,t47,LIDAR_ONLY,10.3281,10.3281,35.6096,25.2815,25.2815,70.9964,70.9964,0,0,11.51,1.05,slow,23.79,front,LIDAR_ONLY
0,15.0277,cam_0,CAM_ONLY,31.5170,,35.2830,3.7660,,10.6737,,0,,18.48,1.23,warning,,,CAMERA_ONLY
0,15.0933,cam_0,CAM_ONLY,31.1106,,35.0014,3.8908,,11.1160,,0,,18.08,1.12,warning,,,CAMERA_ONLY
0,15.1579,t43,BOTH,30.9371,18.6259,34.6978,3.7607,16.0719,10.8385,46.3196,0,0,18.93,1.41,warning,,,FULL_ANGLE
0,15.1579,t47,LIDAR_ONLY,10.5369,10.5369,34.6978,24.1609,24.1609,69.6323,69.6323,0,0,18.93,1.41,slow,23.85,front,LIDAR_ONLY
0,15.1579,t47,LIDAR_ONLY,10.5993,10.5993,34.6978,24.0985,24.0985,69.4525,69.4525,0,0,18.93,1.41,slow,27.99,front,LIDAR_ONLY
0,15.1579,t43,LIDAR_ONLY,17.1919,17.1919,34.6978,17.5059,17.5059,50.4525,50.4525,0,0,18.93,1.41,cautious,19.70,front,LIDAR_ONLY
0,15.2177,cam_0,CAM_ONLY,32.0602,,34.4433,2.3831,,6.9190,,0,,15.31,1.26,slowdown,,,CAMERA_ONLY
0,15.2750,cam_0,CAM_ONLY,32.6053,,34.2261,1.6207,,4.7354,,0,,9.27,1.36,slowdown,,,CAMERA_ONLY
0,15.3359,cam_0,CAM_ONLY,32.5678,,33.9638,1.3960,,4.1103,,0,,15.44,0.91,slowdown,,,CAMERA_ONLY
0,15.4103,t64,LIDAR_ONLY,10.8903,10.8903,33.6703,22.7800,22.7800,67.6561,67.6561,0,0,14.96,1.84,slow,25.04,front,LIDAR_ONLY
0,15.4103,t64,LIDAR_ONLY,11.1792,11.1792,33.6703,22.4911,22.4911,66.7980,66.7980,0,0,14.96,1.84,slow,20.85,front,LIDAR_ONLY
0,15.4103,t64,LIDAR_ONLY,10.7543,10.7543,33.6703,22.9160,22.9160,68.0600,68.0600,0,0,14.96,1.84,slow,29.23,front,LIDAR_ONLY
0,15.4103,t65,LIDAR_ONLY,22.3221,22.3221,33.6703,11.3482,11.3482,33.7039,33.7039,0,0,14.96,1.84,drive,12.47,front,LIDAR_ONLY
0,15.4103,t65,LIDAR_ONLY,19.7978,19.7978,33.6703,13.8725,13.8725,41.2011,41.2011,0,0,14.96,1.84,drive,16.66,front,LIDAR_ONLY
0,15.6684,cam_0,CAM_ONLY,30.4909,,32.6853,2.1944,,6.7136,,0,,13.73,2.63,warning,,,CAMERA_ONLY
0,15.6684,t69,LIDAR_ONLY,10.3398,10.3398,32.6853,22.3455,22.3455,68.3657,68.3657,0,0,13.73,2.63,slow,26.76,front,LIDAR_ONLY
0,15.7275,cam_0,CAM_ONLY,29.8957,,32.4404,2.5447,,7.8443,,0,,11.52,1.13,warning,,,CAMERA_ONLY
0,15.7907,cam_0,CAM_ONLY,29.0852,,32.1784,3.0932,,9.6127,,0,,13.70,1.26,warning,,,CAMERA_ONLY
0,15.8492,cam_0,CAM_ONLY,28.9698,,31.9235,2.9537,,9.2525,,0,,12.92,1.20,warning,,,CAMERA_ONLY
0,15.9140,t78,BOTH,29.4498,11.5886,31.7159,2.2661,20.1273,7.1449,63.4613,0,0,17.21,1.36,warning,,,FULL_ANGLE
0,15.9140,t78,LIDAR_ONLY,10.1446,10.1446,31.7159,21.5713,21.5713,68.0140,68.0140,0,0,17.21,1.36,slow,27.93,front,LIDAR_ONLY
0,15.9140,t78,LIDAR_ONLY,10.6116,10.6116,31.7159,21.1043,21.1043,66.5416,66.5416,0,0,17.21,1.36,slow,19.67,front,LIDAR_ONLY
0,15.9140,t78,LIDAR_ONLY,10.9607,10.9607,31.7159,20.7552,20.7552,65.4410,65.4410,0,0,17.21,1.36,slow,23.80,front,LIDAR_ONLY
0,15.9785,cam_0,CAM_ONLY,29.5952,,31.4676,1.8725,,5.9504,,0,,16.18,1.05,warning,,,CAMERA_ONLY
0,16.0468,cam_0,CAM_ONLY,29.5861,,31.1937,1.6076,,5.1536,,0,,18.28,2.74,warning,,,CAMERA_ONLY
0,16.0987,cam_0,CAM_ONLY,29.1776,,31.0477,1.8701,,6.0232,,0,,8.67,1.27,warning,,,CAMERA_ONLY
0,16.0987,t84,LIDAR_ONLY,36.6433,36.6433,31.0477,5.5956,5.5956,18.0226,18.0226,0,0,8.67,1.27,drive,-21.94,front,LIDAR_ONLY
0,16.1548,cam_0,CAM_ONLY,29.1189,,30.8251,1.7062,,5.5352,,0,,13.18,1.55,slowdown,,,CAMERA_ONLY
0,16.1548,t87,LIDAR_ONLY,9.9073,9.9073,30.8251,20.9179,20.9179,67.8598,67.8598,0,0,13.18,1.55,slow,28.79,front,LIDAR_ONLY
0,16.1548,t87,LIDAR_ONLY,10.1154,10.1154,30.8251,20.7097,20.7097,67.1845,67.1845,0,0,13.18,1.55,slow,24.59,front,LIDAR_ONLY
0,16.1548,t87,LIDAR_ONLY,10.5604,10.5604,30.8251,20.2648,20.2648,65.7411,65.7411,0,0,13.18,1.55,slow,20.39,front,LIDAR_ONLY
0,16.2172,cam_0,CAM_ONLY,28.6145,,30.6164,2.0019,,6.5386,,0,,15.78,1.29,warning,,,CAMERA_ONLY
0,16.2172,t87,LIDAR_ONLY,10.7354,10.7354,30.6164,19.8810,19.8810,64.9358,64.9358,0,0,15.78,1.29,slow,29.64,front,LIDAR_ONLY
0,16.2172,t87,LIDAR_ONLY,10.8597,10.8597,30.6164,19.7568,19.7568,64.5300,64.5300,0,0,15.78,1.29,slow,25.48,front,LIDAR_ONLY
0,16.2829,cam_0,CAM_ONLY,28.1557,,30.4287,2.2730,,7.4699,,0,,19.45,1.05,warning,,,CAMERA_ONLY
0,16.3482,t90,BOTH,28.0407,17.1885,30.2219,2.1812,13.0334,7.2172,43.1256,0,0,14.31,1.05,warning,,,FULL_ANGLE
0,16.3482,t87,LIDAR_ONLY,11.2305,11.2305,30.2219,18.9914,18.9914,62.8400,62.8400,0,0,14.31,1.05,slow,20.98,front,LIDAR_ONLY
0,16.3482,t87,LIDAR_ONLY,11.4664,11.4664,30.2219,18.7555,18.7555,62.0593,62.0593,0,0,14.31,1.05,slow,25.15,front,LIDAR_ONLY
0,16.3482,t87,LIDAR_ONLY,11.2480,11.2480,30.2219,18.9739,18.9739,62.7820,62.7820,0,0,14.31,1.05,slow,29.32,front,LIDAR_ONLY
0,16.4105,cam_0,CAM_ONLY,27.8457,,30.0505,2.2047,,7.3368,,0,,18.41,1.40,warning,,,CAMERA_ONLY
0,16.4871,cam_0,CAM_ONLY,27.5634,,29.8466,2.2832,,7.6499,,0,,15.29,1.03,slowdown,,,CAMERA_ONLY
0,16.5471,cam_0,CAM_ONLY,27.3593,,29.6788,2.3195,,7.8154,,0,,12.06,0.96,slowdown,,,CAMERA_ONLY
0,16.6067,cam_0,CAM_ONLY,26.9658,,29.4989,2.5331,,8.5872,,0,,11.51,1.03,warning,,,CAMERA_ONLY
0,16.6737,cam_0,CAM_ONLY,26.5955,,29.3358,2.7403,,9.3411,,0,,17.98,1.26,warning,,,CAMERA_ONLY
0,16.7331,cam_0,CAM_ONLY,26.7619,,29.1700,2.4081,,8.2552,,0,,9.06,0.94,warning,,,CAMERA_ONLY
0,16.7903,cam_0,CAM_ONLY,26.4705,,29.0553,2.5848,,8.8962,,0,,14.37,1.10,warning,,,CAMERA_ONLY
0,16.8461,cam_0,CAM_ONLY,26.6273,,28.9144,2.2870,,7.9096,,0,,10.73,1.11,slowdown,,,CAMERA_ONLY
0,16.9057,cam_0,CAM_ONLY,26.4857,,28.7657,2.2800,,7.9263,,0,,12.64,1.35,slowdown,,,CAMERA_ONLY
0,16.9057,t105,LIDAR_ONLY,14.2789,14.2789,28.7657,14.4868,14.4868,50.3614,50.3614,0,0,12.64,1.35,cautious,20.26,front,LIDAR_ONLY
0,16.9057,t105,LIDAR_ONLY,12.6490,12.6490,28.7657,16.1167,16.1167,56.0274,56.0274,0,0,12.64,1.35,cautious,24.35,front,LIDAR_ONLY
0,16.9057,t105,LIDAR_ONLY,11.5420,11.5420,28.7657,17.2237,17.2237,59.8758,59.8758,0,0,12.64,1.35,slow,28.43,front,LIDAR_ONLY
0,16.9724,cam_0,CAM_ONLY,26.1845,,28.6173,2.4328,,8.5011,,0,,14.79,1.27,warning,,,CAMERA_ONLY
0,17.0379,cam_0,CAM_ONLY,26.2351,,28.4672,2.2321,,7.8408,,0,,16.13,1.26,slowdown,,,CAMERA_ONLY
0,17.1068,cam_0,CAM_ONLY,25.9943,,28.3122,2.3179,,8.1868,,0,,10.36,1.24,slowdown,,,CAMERA_ONLY
0,17.1068,t105,LIDAR_ONLY,11.6611,11.6611,28.3122,16.6511,16.6511,58.8125,58.8125,0,0,10.36,1.24,slow,21.93,front,LIDAR_ONLY
0,17.1068,t105,LIDAR_ONLY,11.6842,11.6842,28.3122,16.6280,16.6280,58.7308,58.7308,0,0,10.36,1.24,slow,26.00,front,LIDAR_ONLY
0,17.1790,cam_0,CAM_ONLY,26.1293,,28.1752,2.0459,,7.2612,,0,,11.88,1.02,slowdown,,,CAMERA_ONLY
0,17.2346,cam_0,CAM_ONLY,25.9824,,28.0570,2.0747,,7.3945,,0,,10.70,0.92,slowdown,,,CAMERA_ONLY
0,17.2922,cam_0,CAM_ONLY,25.9372,,27.9193,1.9822,,7.0996,,0,,10.84,1.26,slowdown,,,CAMERA_ONLY
0,17.3572,t115,BOTH,25.7607,24.2050,27.8095,2.0488,3.6045,7.3671,12.9613,0,0,18.11,1.18,slowdown,,,FULL_ANGLE
0,17.3572,t114,LIDAR_ONLY,12.6802,12.6802,27.8095,15.1292,15.1292,54.4032,54.4032,0,0,18.11,1.18,cautious,22.95,front,LIDAR_ONLY
