frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
101,36.1264,25.5726,,9.4588,16.1138,,14.12,1.16
102,36.1806,25.2590,7.1424,10.3201,14.9390,3.1777,10.84,1.01
103,36.2450,24.9588,10.4774,11.6069,13.3519,1.1295,15.57,1.31
104,36.3140,24.8089,,13.0368,11.7721,,11.99,0.91
105,36.3858,25.1235,7.4568,14.6094,10.5141,7.1526,20.11,1.02
106,36.4438,24.5881,10.7856,15.6769,8.9112,4.8913,11.73,1.44
107,36.5146,24.3929,,17.0403,7.3526,,17.20,1.24
108,36.5714,23.4975,,18.3184,5.1791,,9.77,0.98
109,36.6313,23.5236,,19.7051,3.8184,,14.16,0.91
110,36.6940,23.5084,17.2879,21.0572,2.4511,3.7693,14.42,1.29
111,36.7586,23.7026,,22.4890,1.2136,,14.95,1.31
112,36.8198,23.4221,,23.8956,0.4734,,9.98,1.04
113,36.8877,23.4614,13.4980,25.4503,1.9889,11.9523,16.41,0.85
114,36.9465,23.5770,12.6383,26.4311,2.8541,13.7929,11.96,1.59
115,37.0110,23.8090,,26.3770,2.5680,,14.45,1.13
116,37.0776,23.8782,,26.3147,2.4365,,15.38,1.17
117,37.1389,23.9604,17.5443,26.2371,2.2767,8.6928,12.45,0.77
118,37.2013,24.1967,,26.1676,1.9710,,16.23,1.24
119,37.2605,23.8019,,26.0949,2.2930,,14.19,1.43
120,37.3236,23.6685,,25.9933,2.3248,,18.17,1.18
121,37.3891,,14.1257,25.8940,,11.7684,17.03,1.27
122,37.4483,23.7853,,25.8043,2.0191,,16.71,1.14
123,37.4988,24.3450,13.1134,25.7387,1.3937,12.6253,9.47,1.37
124,37.5606,,,25.6413,,,16.14,2.13
125,37.6284,24.0903,21.4782,25.5316,1.4413,4.0534,16.75,0.86
126,37.6784,24.7331,,25.4654,0.7323,,11.74,0.99
127,37.7349,,22.5064,25.3745,,2.8681,9.24,0.86
128,37.7870,,,25.2955,,,8.86,0.71
129,37.8419,,11.1163,25.1896,,14.0733,8.88,1.39
130,37.8973,,,25.0851,,,10.39,1.17
131,37.9644,,,24.9736,,,14.95,0.90
132,38.0245,,,24.8463,,,10.30,1.26
133,38.0814,,,24.7455,,,15.51,1.07
134,38.1374,,10.6743,24.6274,,13.9531,8.99,0.92
135,38.2040,,,24.4710,,,17.72,1.35
136,38.2578,,,24.3509,,,8.67,1.18
137,38.3241,,,24.1831,,,18.46,1.06
138,38.3871,,16.5125,24.0253,,7.5128,13.19,2.21
139,38.4557,,15.0663,23.8324,,8.7661,14.81,1.38
140,38.5186,,,23.6572,,,11.04,1.19
141,38.5790,,,23.4968,,,11.68,0.82
142,38.6562,21.7121,,23.2613,1.5491,,20.62,2.27
143,38.7151,,,23.0939,,,9.85,0.97
144,38.7788,,,22.8801,,,16.27,0.83
145,38.8280,20.2235,,22.7134,2.4899,,9.00,1.11
146,38.8820,,19.1964,22.5499,,3.3534,11.09,0.84
147,38.9438,20.4181,10.2497,22.3507,1.9326,12.1010,18.46,1.36
148,39.0083,19.7992,,22.1580,2.3588,,15.63,1.23
149,39.0786,19.5185,,21.9153,2.3968,,16.87,1.11
150,39.1432,19.4478,,21.7092,2.2614,,15.27,1.33
151,39.2123,18.7410,,21.4937,2.7527,,19.37,1.63
152,39.2931,18.6552,10.1842,21.2761,2.6208,11.0919,21.59,2.67
153,39.3578,18.6384,,21.1173,2.4789,,17.82,2.14
154,39.4365,19.0479,16.6562,20.9430,1.8951,4.2868,17.69,0.88
155,39.4935,19.5142,,20.7892,1.2750,,9.23,1.16
156,39.5578,19.5176,,20.6512,1.1336,,16.91,1.27
157,39.6173,19.5452,,20.5235,0.9783,,12.30,1.01
158,39.6795,19.0907,,20.3844,1.2936,,8.99,0.98
159,39.7375,18.2400,,20.2688,2.0289,,12.19,1.02
160,39.8022,17.4982,,20.1590,2.6608,,16.56,1.58
161,39.8587,17.8931,,20.0559,2.1628,,12.18,1.29
162,39.9226,18.0539,,19.9520,1.8981,,12.37,1.00
163,39.9802,18.2226,,19.8659,1.6433,,10.77,0.80
164,40.0428,17.0464,14.9664,19.8491,2.8026,4.8827,17.02,1.38
165,40.1063,17.9778,,19.8490,1.8712,,15.75,1.33
166,40.1636,16.8994,,19.8489,2.9495,,10.71,0.86
167,40.2268,16.3237,,19.8488,3.5251,,17.56,0.97
168,40.2864,16.4888,,19.8487,3.3599,,9.35,0.84
169,40.3517,16.7389,,19.8486,3.1097,,17.13,1.20
170,40.4113,16.6566,,19.8486,3.1920,,17.57,1.24
171,40.4722,16.6190,,19.8486,3.2296,,11.75,1.67
172,40.5441,17.3090,14.2932,19.8485,2.5395,5.5553,14.02,1.14
173,40.6120,17.0810,,19.8485,2.7675,,8.83,1.16
174,40.6708,17.1532,,19.8485,2.6953,,14.21,1.11
175,40.7283,16.7020,,19.8485,3.1465,,10.69,0.97
176,40.7863,16.7204,12.1342,19.8485,3.1281,7.7142,11.67,0.86
177,40.8690,17.0744,,19.8485,2.7741,,23.13,1.20
178,40.9405,17.3207,12.1850,19.8485,2.5277,7.6635,18.88,1.16
179,41.0010,16.6818,,19.8485,3.1666,,11.66,1.11
180,41.0660,16.5300,,19.8485,3.3185,,18.99,0.84
181,41.1307,16.5676,,19.8485,3.2808,,14.52,0.83
182,41.2086,18.4556,,19.8485,1.3929,,21.54,1.89
183,41.2825,18.7979,,19.8485,1.0506,,17.08,1.01
184,41.3452,18.7158,12.6389,19.8485,1.1327,7.2096,18.69,1.33
185,41.4264,19.0842,,19.8485,0.7643,,18.24,1.13
186,41.4826,18.7869,,19.8485,1.0616,,10.23,0.70
187,41.5364,19.1352,13.3709,19.8485,0.7133,6.4775,10.01,1.01
188,41.5870,19.1172,,19.8485,0.7313,,9.37,1.33
189,41.6560,19.4739,,19.8485,0.3746,,15.91,1.22
190,41.7267,19.3379,,19.8485,0.5106,,19.01,1.05
191,41.7850,19.4475,,19.8485,0.4009,,11.24,0.72
192,41.8611,18.5294,,19.8485,1.3191,,15.99,1.22
193,41.9242,19.2481,,19.8485,0.6004,,19.64,1.68
194,41.9827,19.2802,,19.8485,0.5683,,15.90,0.90
195,42.0481,19.0503,,19.8485,0.7982,,13.25,1.08
196,42.1073,19.3434,,19.8485,0.5051,,12.27,1.28
197,42.1809,18.9532,,19.8485,0.8953,,21.24,0.79
198,42.2410,18.5795,10.4058,19.8485,1.2690,9.4427,14.41,1.22
199,42.3017,17.5201,,19.8485,2.3284,,11.80,1.16
200,42.3614,17.7814,,19.8485,2.0670,,15.46,0.84
201,42.4266,17.6015,,19.8485,2.2470,,16.69,0.86
202,42.4845,17.7762,10.4820,19.8485,2.0723,9.3664,11.11,1.08
203,42.5565,17.3569,,19.8485,2.4916,,17.07,1.42
204,42.6248,17.2847,,19.8485,2.5637,,15.42,1.16
205,42.6941,17.2358,13.7173,19.8485,2.6127,6.1312,16.60,0.88
206,42.7589,17.0827,,19.8485,2.7658,,18.09,1.07
207,42.8296,17.1474,,19.8485,2.7011,,19.02,1.00
208,42.9057,16.8515,,19.8485,2.9969,,19.56,1.38
209,42.9631,16.9858,,19.8485,2.8627,,10.44,0.90
210,43.0238,17.0515,,19.8485,2.7970,,16.61,1.21
211,43.0824,16.7262,,19.8485,3.1223,,13.99,0.71
212,43.1486,17.1210,13.1888,19.8485,2.7275,6.6597,18.45,2.49
213,43.2095,17.0819,,19.8485,2.7665,,13.20,1.14
214,43.2752,16.8072,,19.8485,3.0413,,15.41,1.00
215,43.3462,16.9104,12.2041,19.8485,2.9381,7.6444,16.32,1.37
216,43.4101,17.2236,,19.8485,2.6248,,18.85,0.85
217,43.4829,17.3166,12.1279,19.8485,2.5319,7.7205,19.45,1.64
218,43.5443,17.2203,11.1959,19.8485,2.6282,8.6526,12.46,1.26
219,43.6176,17.2123,,19.8485,2.6361,,10.55,0.93
220,43.6816,17.4391,,19.8485,2.4094,,15.01,0.92
221,43.7531,17.1389,,19.8485,2.7096,,14.52,1.30
222,43.8188,17.2108,,19.8485,2.6377,,14.64,1.07
223,43.8834,16.7165,,19.8485,3.1319,,14.34,0.72
224,43.9505,17.0794,,19.8485,2.7690,,20.43,1.98
225,44.0167,17.0430,,19.8485,2.8055,,13.89,1.11
226,44.0738,17.1782,,19.8485,2.6703,,15.07,1.05
227,44.1378,17.1751,15.8770,19.8485,2.6734,3.9714,18.41,0.99
228,44.1948,16.9592,12.1721,19.8485,2.8892,7.6764,13.13,1.26
229,44.2622,17.0525,,19.8485,2.7960,,13.03,0.85
230,44.3286,16.9518,,19.8485,2.8967,,9.58,0.94
231,44.3953,16.8760,11.8298,19.8485,2.9725,8.0186,15.94,1.32
232,44.4552,17.0358,,19.8485,2.8126,,15.48,1.09
233,44.5136,16.7814,,19.8485,3.0671,,9.41,0.85
234,44.5834,16.9980,,19.8485,2.8505,,19.74,1.56
235,44.6554,17.0103,,19.8485,2.8382,,17.58,2.23
236,44.7141,17.1021,,19.8485,2.7464,,13.35,0.86
237,44.7762,16.9460,,19.8485,2.9025,,14.14,1.11
238,44.8374,17.2003,14.4500,19.8485,2.6481,5.3985,15.22,1.28
239,44.8994,17.0448,,19.8485,2.8037,,12.80,1.08
240,44.9633,17.1899,,19.8485,2.6585,,13.72,0.88
241,45.0283,16.8791,,19.8485,2.9694,,16.39,1.05
242,45.0997,17.0597,,19.8485,2.7888,,11.37,1.24
243,45.1637,16.9691,,19.8485,2.8794,,15.55,1.46
244,45.2218,17.0956,,19.8485,2.7528,,14.74,1.06
245,45.2848,17.0749,11.9746,19.8485,2.7736,7.8739,11.76,1.02
246,45.3563,16.6704,,19.8485,3.1780,,20.62,1.00
247,45.4170,16.7091,,19.8485,3.1394,,11.31,1.03
248,45.4705,17.0381,,19.8485,2.8104,,9.88,0.91
249,45.5325,16.8675,,19.8485,2.9809,,12.14,0.62
250,45.6046,16.8523,,19.8485,2.9962,,17.01,2.08
251,45.6679,17.0226,,19.8485,2.8259,,18.09,1.19
252,45.7267,16.7190,,19.8485,3.1295,,10.83,1.09
253,45.7907,17.0473,12.4324,19.8485,2.8012,7.4161,12.69,1.24
254,45.8484,16.9187,,19.8485,2.9297,,12.52,1.11
255,45.9078,17.2059,,19.8485,2.6426,,13.86,1.18
256,45.9748,16.9113,,19.8485,2.9372,,19.79,0.89
257,46.0377,16.6793,12.4607,19.8485,3.1692,7.3877,17.03,1.19
258,46.0954,16.9031,,19.8485,2.9454,,11.70,1.24
259,46.1640,17.0709,,19.8485,2.7775,,16.07,0.91
260,46.2256,16.8897,,19.8485,2.9588,,13.27,1.06
261,46.2808,17.1359,,19.8485,2.7126,,12.02,0.85
262,46.3366,16.7259,12.7036,19.8485,3.1226,7.1449,9.46,0.90
263,46.3979,17.0891,,19.8485,2.7594,,13.82,1.20
264,46.4638,17.0432,,19.8485,2.8053,,15.78,1.06
265,46.5190,17.1506,,19.8485,2.6979,,9.73,1.02
266,46.5764,17.2030,,19.8485,2.6454,,9.35,1.25
267,46.6443,16.8755,12.3004,19.8485,2.9729,7.5480,21.82,2.65
268,46.7046,17.1245,,19.8485,2.7240,,15.35,1.28
269,46.7632,17.0275,,19.8485,2.8210,,11.96,0.86
270,46.8288,17.1855,,19.8485,2.6630,,19.88,1.97
271,46.8906,16.7325,13.3808,19.8485,3.1160,6.4677,12.60,1.29
272,46.9559,16.9644,,19.8485,2.8840,,16.70,0.91
273,47.0216,17.1779,,19.8485,2.6706,,13.57,1.67
274,47.0847,16.8607,15.5814,19.8485,2.9878,4.2670,11.64,0.79
275,47.1443,16.9884,12.4406,19.8485,2.8601,7.4079,12.56,1.29
276,47.2080,16.7312,,19.8485,3.1172,,22.20,1.20
277,47.2730,16.8035,,19.8485,3.0449,,11.27,0.89
278,47.3390,16.9539,13.4759,19.8485,2.8946,6.3725,20.77,1.12
279,47.4033,16.9829,,19.8485,2.8656,,20.23,1.46
280,47.4636,16.9021,,19.8485,2.9464,,14.95,0.84
281,47.5267,16.9899,,19.8485,2.8586,,12.54,0.90
282,47.5838,16.8955,,19.8485,2.9529,,12.19,0.73
283,47.6453,16.9285,12.2479,19.8485,2.9199,7.6005,16.20,1.23
284,47.7207,16.8699,,19.8485,2.9786,,20.91,2.10
285,47.7860,17.0486,,19.8485,2.7999,,19.30,1.61
286,47.8523,16.9262,,19.8485,2.9222,,11.65,1.21
287,47.9116,16.9781,,19.8485,2.8704,,14.44,1.09
288,47.9720,17.0831,,19.8485,2.7654,,12.94,1.05
289,48.0344,16.9613,,19.8485,2.8872,,17.28,1.22
290,48.0935,16.8880,14.5884,19.8485,2.9605,5.2600,14.10,1.34
291,48.1545,17.0998,,19.8485,2.7487,,13.05,1.24
292,48.2096,16.9435,,19.8485,2.9049,,9.64,0.99
293,48.2609,16.8473,,19.8485,3.0011,,9.88,0.88
294,48.3218,16.7434,,19.8485,3.1050,,17.56,1.04
295,48.3892,16.8739,12.2010,19.8485,2.9746,7.6475,17.17,0.98
296,48.4782,16.8620,,19.8485,2.9865,,14.35,0.91
297,48.5354,16.7776,,19.8485,3.0708,,9.34,0.92
298,48.5880,17.0672,12.5502,19.8485,2.7813,7.2983,9.42,0.93
299,48.6483,16.9603,,19.8485,2.8882,,9.10,1.21
300,48.7105,17.2176,,19.8485,2.6308,,19.77,2.46
301,48.7750,16.8050,,19.8485,3.0435,,14.42,1.01
302,48.8389,16.9670,10.4923,19.8485,2.8814,9.3562,19.34,1.14
303,48.8968,17.1624,10.8233,19.8485,2.6861,9.0251,12.87,1.47
304,48.9682,16.9543,,19.8485,2.8942,,11.38,1.02
