frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,10.8422,,10.1299,42.6324,,32.5025,9.30,2.45
2,10.9238,,,42.6324,,,12.87,15.09
3,10.9857,,18.6875,42.6324,,23.9449,15.48,1.45
4,11.0430,,18.4749,42.6324,,24.1575,9.34,2.58
5,11.1047,,17.7100,42.6324,,24.9224,9.01,8.36
6,11.1902,,,42.6324,,,24.10,4.89
7,11.2608,,,42.6324,,,14.85,10.40
8,11.3335,,,42.6324,,,26.14,4.62
9,11.4040,,18.2459,42.6324,,24.3865,12.62,7.47
10,11.4687,,,42.6324,,,9.78,9.71
11,11.5439,,18.0020,42.6324,,24.6304,18.44,3.96
12,11.6044,,17.5790,42.6324,,25.0534,9.70,8.71
13,11.6735,,,42.6208,,,11.45,4.36
14,11.7502,,17.8496,42.5215,,24.6720,10.71,6.99
15,11.8266,,,42.3760,,,14.36,10.52
16,11.8907,45.6844,14.6273,42.2504,3.4339,27.6232,12.19,1.67
17,11.9570,43.3518,14.7169,42.0618,1.2900,27.3448,9.78,10.40
18,12.0179,,,41.9053,,,8.60,10.59
19,12.0835,43.1457,,41.7261,1.4196,,12.21,1.93
20,12.1423,42.6918,9.4221,41.5586,1.1332,32.1365,10.31,2.54
21,12.2087,47.1614,,41.3150,5.8463,,9.46,11.16
22,12.2699,,,41.1311,,,10.06,9.21
23,12.3300,,,40.9225,,,8.38,11.21
24,12.4005,,19.3044,28.4957,,9.1913,17.98,7.61
25,12.4770,44.0149,,28.8247,15.1902,,10.48,9.09
26,12.5625,43.5752,19.2658,29.1647,14.4105,9.8989,18.13,10.59
27,12.6275,43.3165,,29.4612,13.8554,,12.58,3.21
28,12.6892,,,29.6854,,,10.44,11.04
29,12.7725,,,30.0305,,,18.13,13.71
30,12.8442,,10.5406,30.2739,,19.7333,9.73,4.83
31,12.9177,,,30.5155,,,13.28,10.58
32,13.0194,,,30.8896,,,23.74,20.68
33,13.0761,,,31.0458,,,14.34,3.61
34,13.1553,,8.4502,31.3252,,22.8750,18.42,9.68
35,13.2165,,,31.5326,,,9.99,3.05
36,13.2739,,,31.7205,,,9.47,5.38
37,13.3263,,,31.9060,,,9.57,3.43
38,13.3852,40.4728,6.7754,32.1021,8.3708,25.3267,12.27,4.46
39,13.4447,41.6928,6.8972,32.2766,9.4162,25.3794,10.34,2.91
40,13.5088,41.8297,19.3378,32.5440,9.2857,13.2062,10.21,9.44
41,13.5706,40.8916,,32.6750,8.2166,,9.83,9.33
42,13.6404,41.1231,7.1036,32.8698,8.2533,25.7662,19.56,4.18
43,13.6959,40.2538,7.3217,33.0312,7.2226,25.7095,9.82,4.06
44,13.7700,40.9487,,33.2754,7.6733,,17.57,14.47
45,13.8242,,,33.4454,,,9.69,4.83
46,13.8931,38.6176,7.5398,33.7422,4.8754,26.2024,13.56,3.62
47,13.9781,38.6504,,33.9122,4.7383,,24.34,11.93
48,14.0497,37.5594,17.0622,33.5765,3.9829,16.5143,13.50,6.00
49,14.1191,38.2947,,33.2789,5.0157,,16.68,9.18
50,14.1923,37.2414,12.3579,32.9450,4.2964,20.5871,16.77,4.08
51,14.2572,36.1155,16.5459,32.6931,3.4224,16.1473,9.46,8.69
52,14.3268,36.1674,,32.3853,3.7821,,11.31,3.62
53,14.3992,37.1071,16.7913,32.0258,5.0812,15.2345,18.87,7.43
54,14.4706,34.8747,,31.7324,3.1423,,13.41,5.04
55,14.5298,35.5573,,31.4284,4.1289,,9.31,3.86
56,14.5932,34.8717,17.9485,31.1212,3.7504,13.1727,13.22,8.27
57,14.6639,35.3645,,30.8274,4.5370,,13.78,10.35
58,14.7330,33.5743,,30.5102,3.0641,,9.20,3.99
59,14.8010,32.9707,18.0141,30.2023,2.7684,12.1881,12.18,8.46
60,14.8690,32.9987,,29.9135,3.0851,,16.26,8.43
61,14.9377,32.9981,12.2439,29.6430,3.3551,17.3992,18.14,2.06
62,15.0164,32.3606,,29.2889,3.0718,,14.83,15.26
63,15.0856,31.7508,,29.0361,2.7147,,13.48,3.91
64,15.1742,32.3315,,28.7381,3.5934,,21.14,21.84
65,15.2431,30.9794,17.1604,28.5170,2.4624,11.3566,16.70,3.31
66,15.3089,30.8069,,28.2817,2.5253,,11.69,10.60
67,15.3761,30.1986,,28.1012,2.0974,,13.35,3.72
68,15.4434,31.1847,17.3302,27.9174,3.2672,10.5872,18.10,4.24
69,15.5281,31.2825,,27.6865,3.5960,,26.03,8.77
70,15.6048,30.0201,19.0432,27.5043,2.5158,8.4611,18.96,9.62
71,15.6712,29.0914,,27.3698,1.7216,,8.93,10.15
72,15.7381,28.2208,11.6788,27.2312,0.9895,15.5525,14.47,3.23
73,15.8050,28.0214,18.3963,27.1061,0.9154,8.7098,9.90,8.55
74,15.8746,28.0443,,26.9745,1.0698,,19.41,3.99
75,15.9326,28.4843,,26.8813,1.6030,,9.28,4.01
76,16.0030,28.3167,17.8818,26.7615,1.5553,8.8797,16.68,9.74
77,16.0792,27.9804,,26.6092,1.3712,,16.48,10.20
78,16.1532,28.2646,16.9592,22.8964,5.3681,5.9373,16.17,9.31
79,16.2135,27.7397,,23.1541,4.5856,,10.80,10.43
80,16.2803,27.7341,36.1369,23.4134,4.3207,12.7235,14.11,2.80
81,16.3548,27.3401,16.3000,23.6496,3.6905,7.3496,18.32,9.89
82,16.4409,27.6442,10.3210,23.9685,3.6757,13.6475,21.59,3.08
83,16.5176,28.0030,,24.2437,3.7593,,17.87,13.64
84,16.5820,27.9286,,24.4927,3.4359,,18.37,3.32
85,16.6389,26.9255,16.5117,24.7089,2.2166,8.1972,10.24,1.91
86,16.7082,26.6987,,24.9614,1.7372,,10.61,11.09
87,16.7789,27.1207,,24.7508,2.3699,,10.87,3.60
88,16.8415,26.9878,16.5704,24.6050,2.3828,8.0346,13.25,5.77
89,16.9173,26.9533,,24.4206,2.5327,,9.72,14.78
90,16.9771,26.8519,,24.2502,2.6017,,12.96,3.65
91,17.0593,26.4811,,24.0242,2.4569,,16.05,13.16
92,17.1231,26.2877,,23.8518,2.4359,,9.98,8.88
93,17.1987,25.9221,16.5798,23.6380,2.2841,7.0582,20.59,5.83
94,17.2668,25.9233,,23.4692,2.4541,,12.10,14.00
95,17.3323,25.0152,,23.3163,1.6989,,18.42,2.60
96,17.4091,25.3528,16.5353,23.1082,2.2445,6.5729,18.66,11.20
97,17.4764,18.6826,,22.9797,4.2972,,10.33,8.83
98,17.5485,19.5425,26.4280,22.8073,3.2648,3.6207,16.79,3.83
99,17.6191,19.9462,,22.6699,2.7237,,16.61,10.11
100,17.6959,20.2286,25.1396,22.5321,2.3035,2.6074,11.01,8.20
101,17.7733,20.4851,,22.3714,1.8863,,14.28,3.12
102,17.8337,20.5679,25.2909,22.2783,1.7105,3.0125,13.91,1.75
103,17.9221,20.9895,,22.1582,1.1687,,19.99,10.98
104,17.9787,21.3879,,22.1531,0.7652,,13.19,3.31
105,18.0408,24.4478,16.2197,22.1526,2.2953,5.9329,15.65,1.14
106,18.1120,24.8501,,22.1443,2.7059,,11.23,10.81
107,18.1700,25.5590,,22.1292,3.4297,,12.16,5.25
108,18.2340,25.4565,,22.1065,3.3500,,12.17,2.75
109,18.2892,25.2499,11.7883,22.0745,3.1754,10.2861,11.50,1.83
110,18.3628,25.1703,,22.0121,3.1582,,14.10,12.47
111,18.4264,24.5394,,21.9473,2.5921,,13.13,7.90
112,18.5171,24.3222,,21.8438,2.4784,,18.61,15.08
113,18.5775,22.9578,,21.7726,1.1852,,13.89,3.45
114,18.6305,23.5656,,21.6942,1.8714,,9.79,2.61
115,18.7053,23.4057,17.1394,21.5676,1.8381,4.4282,18.21,10.09
116,18.7716,24.8508,,21.4683,3.3825,,11.91,3.70
117,18.8412,24.1440,,21.3482,2.7957,,16.51,2.32
118,18.9127,22.3087,,21.2311,1.0775,,16.44,11.98
119,18.9808,22.5651,,21.1474,1.4177,,11.55,3.46
120,19.0422,21.5276,21.3718,21.0369,0.4908,0.3349,9.35,2.11
121,19.1095,21.2290,,20.9471,0.2819,,14.37,10.99
122,19.1733,19.9672,,20.8817,0.9145,,9.14,9.97
