frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,27.8139,,21.2337,37.5656,,16.3319,10.36,17.24
2,27.9084,,21.3085,37.5650,,16.2565,11.52,13.86
3,27.9679,,21.3425,37.5647,,16.2222,8.65,9.41
4,28.0381,,,37.5721,,,10.11,17.09
5,28.0995,,,37.5910,,,10.03,10.29
6,28.1710,,21.3991,37.6315,,16.2324,12.46,11.77
7,28.2548,,21.2640,37.7010,,16.4370,21.81,17.42
8,28.3346,,,37.7646,,,17.48,15.24
9,28.4045,,20.8928,37.8682,,16.9754,9.94,8.28
10,28.4828,,,37.9540,,,17.90,11.66
11,28.5769,,,38.1119,,,20.37,17.97
12,28.6461,,,38.2110,,,9.02,11.27
13,28.7338,,,38.3752,,,18.14,17.26
14,28.8128,,18.4796,38.5334,,20.0538,15.96,10.86
15,28.9030,,18.1937,38.6506,,20.4569,22.07,8.60
16,28.9870,,,38.8149,,,9.24,19.80
17,29.0669,,18.6759,38.9521,,20.2762,10.80,8.74
18,29.1417,,,39.0486,,,9.34,18.50
19,29.2233,,20.4110,39.1421,,18.7312,13.38,11.24
20,29.2963,,,39.1828,,,14.62,19.67
21,29.3759,,19.5590,39.2026,,19.6436,13.90,13.18
22,29.4612,,19.3838,39.1787,,19.7949,22.25,15.82
23,29.5524,,,39.1399,,,19.00,15.09
24,29.6419,,28.5027,39.0416,,10.5389,19.49,13.05
25,29.7256,,18.8188,38.9166,,20.0979,12.28,16.59
26,29.8351,,,38.7372,,,18.56,13.32
27,29.9410,,,38.5269,,,13.80,21.34
28,30.0135,,27.9897,38.3367,,10.3470,9.95,8.27
29,30.0882,,18.1184,38.1810,,20.0626,8.70,18.96
30,30.1661,,18.2092,37.9560,,19.7468,9.75,8.98
31,30.2428,,,37.7776,,,12.04,9.87
32,30.3193,,18.3687,37.5334,,19.1647,8.88,12.52
33,30.3991,,18.6912,37.3219,,18.6307,17.65,10.92
34,30.4848,,,37.0604,,,18.33,10.54
35,30.5671,,18.5153,36.7898,,18.2745,10.30,13.68
36,30.6365,,18.4271,36.5774,,18.1503,9.12,20.10
37,30.7184,,18.3833,36.2907,,17.9074,8.37,15.24
38,30.7930,,,36.0602,,,11.19,18.11
39,30.8506,,16.8145,35.8411,,19.0266,8.39,8.92
40,30.9379,,,35.6106,,,18.12,12.62
41,31.0147,,16.6271,35.3083,,18.6812,13.78,9.54
42,31.0912,,,35.0321,,,8.70,21.38
43,31.1711,,16.6031,34.8186,,18.2155,10.79,7.08
