frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,24.1648,,,41.8915,,,18.27,3.75
2,24.2281,,,41.8915,,,8.55,3.37
3,24.2901,,11.0568,41.8915,,30.8347,11.47,1.91
4,24.3579,,,41.8915,,,17.13,6.81
5,24.4406,,18.9135,41.8915,,22.9780,13.09,2.71
6,24.4996,,,41.8915,,,10.02,4.49
7,24.5739,,,41.8915,,,13.82,4.97
8,24.6328,,,41.8915,,,10.20,3.40
9,24.7008,,,41.8915,,,14.74,5.11
10,24.7622,,,41.8915,,,12.23,5.69
11,24.8251,,,41.8915,,,9.61,3.54
12,24.8831,,30.6245,41.8915,,11.2671,11.80,2.41
13,24.9519,,,41.8915,,,13.20,4.35
14,25.0243,,,41.8658,,,13.28,2.97
15,25.0999,26.9256,20.5213,41.7505,14.8249,21.2292,20.04,6.17
16,25.1587,,,41.6332,,,11.58,3.85
17,25.2198,,,41.4921,,,13.25,2.69
18,25.2783,26.9493,,41.3626,14.4133,,11.82,2.78
19,25.3470,26.6730,19.1051,41.1498,14.4767,22.0447,11.80,3.65
20,25.4172,26.9568,,40.9458,13.9890,,12.54,4.03
21,25.4891,26.7140,20.3788,40.7473,14.0333,20.3684,13.34,2.21
22,25.5539,,,40.5450,,,8.64,4.73
23,25.6232,,,40.3327,,,20.28,2.76
24,25.6994,,19.8490,40.1245,,20.2756,17.74,5.46
25,25.7625,,,39.9372,,,13.17,6.04
26,25.8288,,30.6194,39.7308,,9.1115,14.42,2.88
27,25.8982,,20.1090,39.5201,,19.4110,12.91,3.22
28,25.9645,,,39.3237,,,16.85,3.44
29,26.0376,,9.7788,39.0745,,29.2957,11.81,3.01
30,26.1067,,,38.8319,,,11.64,4.26
31,26.1715,,,38.5924,,,9.22,2.43
32,26.2513,,,38.3047,,,15.50,5.80
33,26.3269,,,38.0158,,,15.17,4.05
34,26.3978,25.1218,17.9950,37.7489,12.6272,19.7540,13.95,3.07
35,26.4597,,,37.4822,,,11.02,4.13
36,26.5262,,,37.1915,,,8.75,3.92
37,26.5826,,22.1663,36.9718,,14.8056,10.59,2.05
38,26.6637,,,36.6152,,,15.88,5.28
39,26.7311,,,36.3570,,,16.84,2.79
40,26.8007,57.7361,,36.0550,21.6811,,14.61,5.47
41,26.8671,57.9200,,35.6921,22.2279,,11.23,4.04
42,26.9272,,,35.4508,,,9.12,3.44
43,26.9897,,13.4423,35.1541,,21.7117,13.52,1.59
44,27.0544,57.5679,,34.7649,22.8030,,10.23,4.70
45,27.1135,55.5534,,34.4777,21.0757,,9.34,4.10
46,27.1754,,,34.1685,,,10.04,5.82
47,27.2377,,12.1586,33.8843,,21.7258,10.73,1.50
48,27.3078,,,33.5316,,,14.30,4.55
49,27.3709,,,33.1835,,,8.97,6.29
50,27.4354,,33.6243,32.8702,,0.7541,9.85,2.09
51,27.5150,,,32.4545,,,15.59,4.15
52,27.5814,,,32.0641,,,12.52,3.38
53,27.6474,,,31.7091,,,16.91,4.75
54,27.7167,,,31.3664,,,12.49,4.71
55,27.7796,,,31.0266,,,10.10,2.90
56,27.8644,,,30.4762,,,15.56,12.04
57,27.9306,,,30.1125,,,9.83,3.54
58,27.9911,21.2523,14.1854,29.7278,8.4755,15.5425,11.42,2.03
59,28.0570,21.1566,,29.3250,8.1684,,12.32,4.91
60,28.1306,20.6869,,28.9542,8.2673,,16.83,3.38
61,28.1943,50.4001,9.7400,28.5139,21.8862,18.7738,13.34,3.68
62,28.2679,50.7846,,28.0939,22.6907,,13.09,5.61
63,28.3353,19.7403,16.7282,27.7568,8.0165,11.0285,10.65,2.32
64,28.3971,46.0385,9.8918,27.4208,18.6177,17.5289,10.10,1.97
65,28.4654,45.8414,,21.9364,23.9050,,18.27,5.27
66,28.5330,44.8771,,23.0904,21.7867,,13.90,2.26
67,28.6018,44.0062,,24.5108,19.4953,,16.98,5.79
68,28.6799,43.5892,,26.1157,17.4735,,16.94,2.99
69,28.7420,44.0885,19.6754,25.8646,18.2239,6.1892,16.57,2.56
70,28.8104,44.1749,,25.5076,18.6673,,12.67,6.83
71,28.8688,43.3107,,25.2339,18.0768,,10.26,3.29
72,28.9344,43.9737,9.6856,24.8961,19.0776,15.2105,12.99,2.47
73,28.9996,42.3102,19.6000,24.5391,17.7711,4.9391,19.35,1.90
74,29.0605,42.6625,,24.2412,18.4213,,9.38,4.05
75,29.1239,42.0343,,23.9180,18.1164,,15.80,2.76
76,29.2046,41.9712,,23.5129,18.4583,,14.30,4.29
77,29.2708,41.5165,,23.2138,18.3027,,11.47,2.08
78,29.3362,40.6772,23.4854,22.8772,17.7999,0.6081,12.42,1.35
79,29.4116,40.1117,,22.4348,17.6769,,15.13,4.69
80,29.4728,39.6023,,22.1013,17.5010,,13.96,3.26
81,29.5462,37.9674,19.1547,21.7124,16.2549,2.5577,17.08,4.12
82,29.6182,36.7794,,21.3067,15.4727,,12.62,3.23
83,29.6846,36.6665,30.9494,20.9152,15.7513,10.0342,11.87,1.76
84,29.7490,36.6831,,20.6208,16.0623,,10.72,4.12
85,29.8144,35.7029,,20.2153,15.4876,,12.01,4.29
86,29.8793,34.7927,29.9795,19.8890,14.9038,10.0905,10.79,3.50
87,29.9428,34.2798,14.6837,19.5710,14.7088,4.8873,9.63,2.85
88,30.0114,33.5788,,19.1842,14.3946,,9.58,3.63
89,30.0794,33.6962,14.0434,18.8505,14.8457,4.8070,18.50,1.68
90,30.1523,34.3046,16.9105,18.5003,15.8043,1.5898,17.29,5.74
91,30.2423,32.8526,21.2121,18.0677,14.7849,3.1444,19.22,7.68
92,30.3057,32.2055,,17.7919,14.4136,,10.74,4.24
93,30.3796,32.4540,,17.4500,15.0040,,13.57,3.55
94,30.4411,32.1265,14.8618,17.1534,14.9731,2.2916,14.74,3.20
95,30.5035,31.6195,,16.8735,14.7460,,10.14,5.82
96,30.5730,30.1072,,16.6064,13.5008,,16.84,2.63
97,30.6369,30.0468,12.5296,16.3158,13.7310,3.7862,15.81,1.66
98,30.7038,29.5961,,16.0565,13.5397,,13.56,5.12
99,30.7709,29.6471,,15.8022,13.8449,,16.18,3.58
100,30.8353,28.1950,27.6860,15.4771,12.7178,12.2089,12.77,2.44
101,30.9006,27.1600,15.6373,15.2315,11.9285,0.4058,15.43,4.95
102,30.9651,26.3933,,15.0096,11.3837,,14.39,4.04
103,31.0415,26.0445,16.1461,14.7494,11.2952,1.3967,18.02,3.59
104,31.1092,25.7674,,14.5108,11.2565,,12.90,5.97
105,31.1784,25.6481,,14.2901,11.3581,,14.34,3.91
106,31.2451,25.6719,15.4743,14.0715,11.6004,1.4028,18.60,2.35
107,31.3188,25.8125,,13.8618,11.9508,,21.90,5.08
108,31.3886,25.3965,12.1963,13.6786,11.7179,1.4822,16.32,1.93
109,31.4663,25.3326,,13.4408,11.8918,,19.31,8.08
110,31.5416,25.3853,15.4982,13.2511,12.1341,2.2471,24.63,3.70
111,31.6314,24.7741,,13.0366,11.7374,,25.90,6.36
112,31.7095,24.4066,,12.8397,11.5669,,11.82,7.01
113,31.7805,23.6718,,12.6806,10.9912,,15.80,3.61
114,31.8559,23.2578,,12.5298,10.7280,,13.54,4.57
115,31.9147,23.6683,,12.4099,11.2584,,11.77,3.84
116,31.9856,22.7569,12.5381,12.2849,10.4720,0.2533,15.38,1.57
117,32.0471,22.7173,,12.1736,10.5437,,9.85,3.48
118,32.1258,22.9504,,12.0199,10.9304,,20.15,4.66
119,32.1838,22.6239,13.6331,11.9319,10.6920,1.7012,15.66,1.57
120,32.2572,21.9896,,11.8380,10.1516,,9.61,4.38
121,32.3342,22.8138,28.0001,11.8227,10.9911,16.1773,11.92,2.11
122,32.3920,22.8670,12.1831,11.8225,11.0445,0.3605,13.33,1.82
123,32.4640,,,11.8176,,,18.69,6.16
124,32.5413,22.5347,13.9850,11.8072,10.7275,2.1777,17.40,3.07
125,32.6032,22.4737,,11.7922,10.6815,,9.83,4.45
126,32.6697,22.4110,,11.7630,10.6480,,13.64,5.45
127,32.7303,22.4730,,11.7345,10.7385,,9.70,2.85
128,32.7965,21.8665,18.1194,11.6902,10.1762,6.4291,10.76,3.83
129,32.8586,21.6254,,11.6368,9.9886,,10.53,4.23
130,32.9249,21.5860,,11.5636,10.0224,,12.74,4.50
131,32.9953,21.8826,15.5853,11.5470,10.3356,4.0384,9.14,2.45
132,33.0664,21.9886,,11.5449,10.4436,,17.93,5.25
133,33.1384,21.8921,12.3060,11.5351,10.3569,0.7708,17.35,1.93
134,33.2122,21.7375,,11.5095,10.2280,,11.96,4.58
135,33.2712,21.9517,,11.4828,10.4689,,9.81,4.54
136,33.3335,21.9892,23.4092,11.4536,10.5356,11.9557,11.14,2.79
137,33.4077,21.7119,,11.3909,10.3210,,12.79,6.29
138,33.4663,22.1380,,11.3617,10.7763,,9.24,6.31
139,33.5427,22.5763,12.5247,11.3593,11.2170,1.1654,20.45,2.70
140,33.6138,,,11.3436,,,15.27,3.27
141,33.6779,22.1658,,11.3226,10.8432,,12.22,3.67
142,33.7428,21.1126,7.1020,11.2924,9.8202,4.1904,13.40,3.08
143,33.8224,21.8718,,11.2736,10.5983,,21.62,4.92
144,33.8830,22.1738,7.1949,11.2725,10.9013,4.0776,12.90,2.97
145,33.9537,21.9057,18.6485,11.2698,10.6359,7.3787,9.89,5.29
146,34.0290,21.8713,,11.2697,10.6016,,12.78,3.71
147,34.0935,21.7662,7.9460,11.2643,10.5019,3.3183,14.50,2.16
148,34.1565,21.6596,,11.2614,10.3982,,10.96,5.08
149,34.2196,21.7433,,11.2605,10.4828,,9.91,3.49
150,34.2795,21.7541,,11.2550,10.4991,,10.68,3.19
151,34.3503,21.0983,18.5620,11.2377,9.8607,7.3244,15.81,4.75
152,34.4160,21.0401,,11.2114,9.8287,,12.31,7.08
153,34.4814,21.4111,,11.1756,10.2354,,11.81,2.90
154,34.5412,21.3358,11.4077,11.1223,10.2134,0.2853,10.17,4.53
155,34.6110,21.0676,,11.0977,9.9699,,15.63,6.09
156,34.6695,10.2696,,11.0968,0.8272,,11.07,1.96
157,34.7351,,11.4156,11.0943,,0.3213,15.11,1.94
158,34.7987,10.3321,,11.0943,0.7623,,10.11,5.06
159,34.8613,10.3172,,11.0932,0.7760,,12.87,5.99
160,34.9206,,,11.0932,,,9.03,2.62
161,34.9829,10.2881,27.5360,11.0931,0.8051,16.4429,11.56,2.46
162,35.0651,10.2131,,11.0931,0.8800,,14.94,3.77
163,35.1513,,11.4635,11.0931,,0.3705,19.48,6.45
164,35.2114,,,11.0931,,,8.87,8.17
165,35.2806,,,11.0928,,,13.84,3.80
166,35.3466,,12.4752,11.0906,,1.3846,8.87,3.02
167,35.4055,,,11.0819,,,10.87,4.61
168,35.4708,,,11.0668,,,13.07,4.13
169,35.5319,,28.0203,11.0422,,16.9781,10.83,2.32
170,35.5965,,19.0988,10.9992,,8.0995,11.01,3.60
171,35.6561,,,10.9610,,,10.42,4.83
172,35.7182,,,10.9009,,,11.31,3.64
173,35.7792,,,10.8237,,,11.37,3.52
174,35.8468,,,10.7437,,,14.04,4.13
175,35.9119,10.0118,,10.6405,0.6287,,9.25,6.21
176,35.9753,,,10.5381,,,11.43,3.54
177,36.0378,,10.7089,10.4244,,0.2845,12.64,1.41
178,36.1112,,,10.2680,,,17.91,6.58
179,36.1690,,,10.1759,,,11.67,2.68
180,36.2466,,18.5038,10.0052,,8.4985,12.98,4.86
181,36.3076,,,9.8941,,,8.24,5.55
182,36.3684,,,9.7491,,,12.73,3.53
183,36.4348,,,9.6007,,,12.59,4.05
184,36.4971,,,9.4563,,,8.98,4.00
185,36.5594,,,9.2877,,,9.56,3.69
186,36.6198,,,9.1121,,,11.21,2.77
187,36.6885,,9.1052,8.8952,,0.2100,15.63,2.80
188,36.7577,16.8082,,8.6598,8.1484,,11.26,5.15
189,36.8207,16.3034,,8.4783,7.8251,,14.13,3.04
190,36.8841,15.9291,28.3072,8.2819,7.6472,20.0253,12.50,2.96
191,36.9484,15.1936,8.9780,8.0635,7.1301,0.9145,9.21,3.59
192,37.0175,15.1877,,7.8811,7.3066,,12.58,3.42
193,37.0862,14.8566,,7.7039,7.1527,,14.47,3.03
194,37.1466,14.5353,18.5391,7.5324,7.0029,11.0067,10.22,3.66
195,37.2166,14.2795,,7.3544,6.9252,,13.93,3.96
196,37.2904,14.1810,7.6443,7.1685,7.0125,0.4758,19.96,4.82
197,37.3574,13.8713,,7.0175,6.8539,,9.09,4.88
198,37.4282,13.5624,,6.8805,6.6819,,17.93,3.73
199,37.5088,13.3872,,6.7091,6.6782,,17.97,7.75
200,37.5786,13.1886,,6.5771,6.6115,,14.95,6.27
201,37.6407,13.0405,6.7586,6.4717,6.5688,0.2869,12.24,2.69
202,37.7092,12.8787,,6.3515,6.5272,,10.31,4.66
203,37.7784,12.6684,,6.2337,6.4347,,12.38,3.79
