frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,13.3986,,,44.1275,,,16.35,3.92
2,13.4673,,,43.7343,,,17.79,1.39
3,13.5283,,,43.4390,,,16.94,1.05
4,13.5934,,,43.0881,,,15.08,1.34
5,13.6575,,10.6252,42.7123,,32.0872,14.91,1.34
6,13.7174,,,42.3438,,,13.98,1.23
7,13.7738,,,42.0304,,,11.55,1.73
8,13.8392,,,41.6673,,,15.37,1.13
9,13.8977,,,41.3430,,,14.47,1.27
10,13.9613,41.3313,9.3636,40.9563,0.3751,31.5926,15.38,1.31
11,14.0230,,,40.5643,,,13.30,1.26
12,14.0727,,,40.2972,,,8.73,1.27
13,14.1246,38.7977,,39.9237,1.1260,,10.18,1.33
14,14.1992,,,39.5425,,,14.21,1.96
15,14.2732,,,39.0829,,,16.00,1.25
16,14.3340,,,38.7279,,,10.65,1.02
17,14.3922,,,38.4089,,,8.95,1.07
18,14.4622,36.0888,9.4129,37.9760,1.8872,28.5631,12.16,1.22
19,14.5259,,,37.6870,,,15.97,1.18
20,14.5814,37.1145,,37.3652,0.2508,,8.74,1.08
21,14.6412,34.9147,,37.0951,2.1804,,12.72,1.19
22,14.7061,36.2718,10.2155,36.7791,0.5073,26.5636,15.64,1.26
23,14.7690,33.7736,,36.4802,2.7065,,13.81,1.22
24,14.8317,,,36.1854,,,11.51,0.87
25,14.8992,34.6776,21.3753,35.8631,1.1855,14.4878,21.59,0.82
26,14.9516,32.9062,10.1251,35.6096,2.7033,25.4845,11.51,1.05
27,15.0277,31.5170,,35.2830,3.7660,,18.48,1.23
28,15.0932,31.1106,,35.0014,3.8908,,18.08,1.12
29,15.1579,30.9371,10.5369,34.6978,3.7607,24.1609,18.93,1.41
30,15.2177,32.0602,,34.4433,2.3831,,15.31,1.26
31,15.2749,32.6053,,34.2261,1.6207,,9.27,1.36
