frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,lidar_snap_dist_m,gt_dist_m,cam_error_m,lidar_error_m,lidar_snap_error_m,cam_latency_ms,lidar_latency_ms
375,73.3553,19.8971,,,16.1975,3.6997,,,9.61,0.96
376,73.4250,19.8440,11.1479,11.1976,16.1975,3.6465,5.0496,4.9999,21.76,0.81
377,73.4923,19.8567,,,16.1975,3.6592,,,14.75,1.15
378,73.5539,19.8808,,,16.1975,3.6833,,,13.71,1.02
379,73.6237,19.8768,,,16.1975,3.6793,,,13.06,1.04
380,73.6820,19.9595,11.1057,,16.1975,3.7621,5.0918,,12.05,0.87
381,73.7511,19.7914,,,16.1975,3.5939,,,15.87,1.21
382,73.8136,19.8860,,,16.1975,3.6886,,,12.98,1.07
383,73.8942,19.8478,,,16.1975,3.6504,,,16.89,1.17
384,73.9506,19.8661,,,16.1975,3.6686,,,9.98,1.24
385,74.0066,19.8466,,,16.1975,3.6491,,,10.08,0.92
386,74.0660,19.9307,,,16.1975,3.7332,,,13.23,1.05
387,74.1211,19.8363,11.1232,,16.1975,3.6388,5.0743,,11.38,0.83
388,74.1986,19.8800,,,16.1975,3.6825,,,24.17,1.46
389,74.2569,19.8372,,,16.1975,3.6397,,,13.18,0.84
390,74.3151,19.8043,,,16.1975,3.6068,,,10.79,0.93
391,74.3842,19.8921,10.1146,,16.1975,3.6946,6.0829,,17.19,1.16
392,74.4414,19.9290,,,16.1975,3.7316,,,9.37,1.34
393,74.4982,19.8190,,,16.1975,3.6216,,,14.55,1.11
394,74.5569,19.8374,,,16.1975,3.6399,,,11.37,0.78
395,74.6204,19.8543,,,16.1975,3.6568,,,13.98,0.86
396,74.6845,19.7670,12.6899,,16.1975,3.5695,3.5076,,15.84,1.27
397,74.7455,19.8882,,,16.1975,3.6908,,,13.77,1.23
398,74.8074,19.8702,,,16.1975,3.6727,,,13.55,0.97
399,74.8696,19.8858,,,16.1975,3.6883,,,13.53,0.86
400,74.9338,19.7879,11.0814,,16.1975,3.5904,5.1161,,13.08,1.24
401,74.9969,19.8890,,,16.1975,3.6915,,,10.43,1.09
402,75.0676,19.9411,,,16.1975,3.7436,,,18.67,2.42
403,75.1285,19.9461,11.1572,11.2094,16.1975,3.7487,5.0403,4.9881,15.65,0.89
404,75.1958,19.8762,,,16.1975,3.6788,,,17.40,1.06
405,75.2548,19.9673,,,16.1975,3.7698,,,15.73,0.85
406,75.3181,19.8871,,,16.1975,3.6897,,,13.93,1.06
407,75.3711,19.8294,11.1632,,16.1975,3.6319,5.0342,,9.26,0.84
408,75.4370,19.8756,10.1431,11.1800,16.1975,3.6781,6.0543,5.0175,16.18,1.24
409,75.4951,19.8299,,,16.1975,3.6324,,,16.31,1.07
410,75.5520,19.9078,,,16.1975,3.7103,,,11.62,1.18
411,75.6062,19.9192,,,16.1975,3.7217,,,13.62,0.76
412,75.6688,19.9479,,,16.1975,3.7504,,,14.24,1.05
413,75.7342,19.8238,,,16.1975,3.6263,,,16.81,1.32
414,75.7945,19.9420,,,16.1975,3.7445,,,13.66,1.42
415,75.8630,19.9240,,,16.1975,3.7266,,,9.72,0.99
416,75.9264,19.9108,11.1052,11.1758,16.1975,3.7133,5.0923,5.0217,13.14,0.81
417,75.9906,19.7907,,,16.1975,3.5932,,,15.10,1.13
418,76.0712,19.8806,,,16.1975,3.6831,,,23.27,1.92
419,76.1297,19.8212,11.1140,,16.1975,3.6237,5.0835,,14.31,1.00
420,76.1907,19.8484,,,16.1975,3.6509,,,13.97,0.98
421,76.2579,19.8726,,,16.1975,3.6751,,,14.41,1.54
422,76.3186,19.8522,,,16.1975,3.6547,,,11.83,1.13
423,76.3736,19.8636,11.1538,11.1949,16.1975,3.6661,5.0437,5.0026,10.68,0.97
424,76.4285,19.9036,11.1770,,16.1975,3.7062,5.0205,,12.56,1.22
425,76.4890,19.7786,12.7958,,16.1975,3.5812,3.4017,,13.72,1.16
426,76.5548,19.8224,,,16.1975,3.6249,,,15.42,1.12
427,76.6180,19.8271,,,16.1975,3.6296,,,12.68,0.92
428,76.6795,19.8738,11.1696,,16.1975,3.6763,5.0279,,9.60,0.82
429,76.7520,19.8106,,,16.1975,3.6132,,,18.37,1.24
430,76.8156,19.8503,,,16.1975,3.6528,,,12.22,0.84
431,76.8762,19.9392,11.1877,11.1688,16.1975,3.7417,5.0098,5.0287,13.82,0.88
432,76.9439,19.9543,,,16.1975,3.7568,,,16.12,1.15
433,77.0001,19.9552,,,16.1975,3.7578,,,9.03,0.82
434,77.0614,19.8713,,,16.1975,3.6738,,,13.22,0.90
435,77.1240,19.8797,,,16.1975,3.6823,,,13.55,0.81
436,77.1837,19.9254,,,16.1975,3.7280,,,9.94,1.03
437,77.2645,19.9181,,,16.1975,3.7206,,,20.15,2.22
438,77.3485,19.8784,,,16.1975,3.6810,,,13.15,1.07
439,77.4104,19.9256,,,16.1975,3.7281,,,13.36,1.01
440,77.4746,19.8942,,,16.1975,3.6967,,,13.72,0.97
441,77.5488,19.9128,,,16.1975,3.7153,,,22.18,2.23
442,77.6056,19.9136,,,16.1975,3.7161,,,12.91,0.88
443,77.6638,19.9106,,,16.1975,3.7131,,,11.86,0.91
444,77.7239,19.8376,,,16.1975,3.6401,,,14.18,0.94
445,77.7863,19.8752,11.8797,,16.1975,3.6777,4.3178,,10.05,1.23
446,77.8586,19.8587,,,16.1975,3.6613,,,20.06,1.03
447,77.9199,19.8928,,,16.1975,3.6953,,,13.90,0.97
448,77.9819,19.8934,11.1641,,16.1975,3.6960,5.0333,,12.82,1.15
449,78.0551,19.7880,,,16.1975,3.5905,,,17.52,1.23
450,78.1127,19.8856,,,16.1975,3.6881,,,12.36,0.96
451,78.1766,19.9044,11.1674,,16.1975,3.7069,5.0301,,12.25,1.01
452,78.2582,19.9418,,,16.1975,3.7443,,,23.97,0.96
453,78.3230,19.9159,,,16.1975,3.7184,,,13.36,0.79
454,78.3869,19.7917,12.6146,,16.1975,3.5943,3.5829,,15.91,1.25
455,78.4580,19.8687,,,16.1975,3.6712,,,19.65,1.63
456,78.5231,19.8337,,,16.1975,3.6362,,,13.10,0.79
457,78.5959,19.8311,,,16.1975,3.6337,,,22.20,1.63
458,78.6552,19.8384,,,16.1975,3.6409,,,11.87,0.89
459,78.7291,19.8638,11.0916,,16.1975,3.6663,5.1059,,22.33,1.59
460,78.7911,19.8649,,,16.1975,3.6674,,,16.37,0.96
461,78.8471,19.8811,,,16.1975,3.6836,,,13.74,1.19
462,78.9084,19.9165,,,16.1975,3.7191,,,14.95,0.90
463,78.9691,19.9511,,,16.1975,3.7536,,,11.34,0.94
464,79.0309,19.7977,11.1768,11.1864,16.1975,3.6002,5.0207,5.0111,13.13,1.33
465,79.1037,19.9203,,,16.1975,3.7229,,,12.51,1.63
466,79.1701,19.8064,,,16.1975,3.6089,,,18.64,1.05
467,79.2384,19.7914,11.1831,11.1630,16.1975,3.5940,5.0143,5.0345,18.37,2.72
468,79.2977,19.8179,,,16.1975,3.6204,,,13.54,1.18
469,79.3640,19.8261,,,16.1975,3.6286,,,12.06,0.96
470,79.4205,19.9094,,,16.1975,3.7119,,,10.26,1.19
471,79.4848,19.8400,14.7515,,16.1975,3.6425,1.4460,,10.61,1.32
472,79.5430,19.8774,13.1534,,16.1975,3.6799,3.0441,,9.90,1.31
473,79.6070,19.8066,,,16.1975,3.6091,,,14.84,1.07
474,79.6706,19.8710,,,16.1975,3.6735,,,14.06,0.82
475,79.7473,19.8605,,,16.1975,3.6630,,,22.58,1.39
476,79.8148,19.8171,,,16.1975,3.6196,,,13.17,1.20
477,79.8813,19.8734,11.1251,,16.1975,3.6759,5.0724,,15.20,0.98
478,79.9435,19.8465,,,16.1975,3.6490,,,12.52,1.07
479,80.0168,19.8913,,,16.1975,3.6939,,,18.58,1.06
480,80.0810,19.8784,11.2824,,16.1975,3.6810,4.9150,,12.05,1.00
481,80.1504,19.8660,,,16.1975,3.6686,,,17.14,1.02
482,80.2188,19.7915,,,16.1975,3.5941,,,16.28,1.56
483,80.2792,19.7979,12.0530,11.1957,16.1975,3.6004,4.1444,5.0018,14.14,0.90
484,80.3395,19.8379,,,16.1975,3.6404,,,10.23,1.12
485,80.3926,19.8326,,,16.1975,3.6352,,,9.52,1.10
486,80.4621,19.8904,,,16.1975,3.6929,,,19.85,1.21
487,80.5238,19.8991,11.1441,11.1991,16.1975,3.7016,5.0534,4.9983,13.46,0.95
488,80.5971,19.8857,,,16.1975,3.6882,,,17.13,1.28
489,80.6579,19.8930,,,16.1975,3.6955,,,11.05,0.88
490,80.7200,19.7919,,,16.1975,3.5945,,,12.75,1.11
491,80.7886,19.8250,12.8018,,16.1975,3.6275,3.3956,,15.36,2.50
492,80.8498,19.8513,,,16.1975,3.6538,,,14.84,1.24
493,80.9124,19.8772,,,16.1975,3.6798,,,14.37,0.93
494,80.9713,19.8065,,,16.1975,3.6091,,,11.70,0.90
495,81.0448,19.9508,,,16.1975,3.7534,,,19.08,2.41
496,81.1234,19.8354,,,16.1975,3.6379,,,23.93,0.89
497,81.1948,19.8360,,,16.1975,3.6385,,,17.73,1.18
498,81.2610,19.8366,,,16.1975,3.6391,,,20.55,1.14
499,81.3259,19.7921,11.2329,11.1658,16.1975,3.5946,4.9646,5.0317,13.07,0.88
500,81.3846,19.9219,11.1717,11.1777,16.1975,3.7244,5.0257,5.0197,12.44,1.20
501,81.4520,19.7701,,,16.1975,3.5726,,,16.44,1.21
502,81.5200,19.7786,,,16.1975,3.5811,,,18.90,0.81
503,81.5849,19.8585,11.1718,11.1659,16.1975,3.6610,5.0256,5.0316,17.78,1.12
504,81.6480,19.8883,,,16.1975,3.6908,,,14.43,1.24
505,81.7121,19.8453,,,16.1975,3.6479,,,12.22,1.20
