frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,lidar_snap_dist_m,gt_dist_m,cam_error_m,lidar_error_m,lidar_snap_error_m,cam_latency_ms,lidar_latency_ms
95,55.1383,39.0533,12.1562,,27.4907,11.5626,15.3345,,17.14,1.28
96,55.2106,39.1165,,,27.2998,11.8167,,,13.88,1.00
97,55.2726,38.4902,,,27.1070,11.3832,,,14.97,0.92
98,55.3386,38.4188,12.0017,,26.9102,11.5086,14.9085,,13.96,1.35
99,55.3968,37.6575,,,26.7068,10.9507,,,9.95,1.10
100,55.4553,37.1555,,,26.5418,10.6137,,,14.05,0.92
101,55.5200,37.5047,,,26.3238,11.1809,,,13.40,1.13
102,55.5767,37.0606,,,26.1256,10.9350,,,10.78,0.74
103,55.6414,37.6741,,,25.9173,11.7568,,,18.33,1.02
104,55.7019,36.8057,,,25.7210,11.0847,,,10.81,1.18
105,55.7671,35.4277,,,25.4483,9.9794,,,18.36,1.81
106,55.8297,35.0463,12.8040,,25.2334,9.8129,12.4294,,15.18,0.92
107,55.8922,35.0110,,,24.9761,10.0349,,,14.82,1.06
108,55.9594,35.1576,,,24.7124,10.4451,,,10.56,0.87
109,56.0324,34.1591,12.6842,,24.4151,9.7439,11.7309,,13.14,1.19
110,56.0911,33.2908,,,24.1737,9.1171,,,15.46,1.20
111,56.2010,33.2429,,,23.7000,9.5430,,,12.96,1.08
112,56.2723,32.6164,,,23.3921,9.2243,,,18.09,2.16
113,56.3395,31.7388,,,23.1189,8.6200,,,11.63,1.08
114,56.3957,32.7349,,,22.9027,9.8322,,,11.74,1.11
115,56.4528,32.0249,,,22.6312,9.3937,,,9.79,1.32
116,56.5221,31.0533,,,22.3635,8.6898,,,20.08,0.73
117,56.5806,31.5862,13.6780,,22.1353,9.4509,8.4574,,11.23,0.90
118,56.6491,30.4805,,,21.8571,8.6234,,,15.58,1.21
119,56.7170,30.7029,,,21.5886,9.1143,,,17.95,1.18
120,56.7786,29.5685,13.5935,,21.3510,8.2174,7.7576,,15.84,0.84
121,56.8396,27.2969,13.5894,,21.0949,6.2020,7.5055,,13.19,1.37
122,56.9052,28.0430,,,20.8920,7.1510,,,15.43,1.12
123,56.9625,27.3051,,,20.6640,6.6411,,,12.54,0.99
124,57.0303,26.6724,13.2111,15.5214,20.4215,6.2509,7.2104,4.9001,21.82,1.02
125,57.0944,26.1971,,,20.2324,5.9647,,,16.90,1.09
126,57.1531,26.2870,,,20.0594,6.2276,,,8.66,1.18
127,57.2140,26.2604,,,19.8569,6.4035,,,14.73,1.16
128,57.2723,26.0529,,,19.6862,6.3667,,,11.92,1.02
129,57.3371,25.4105,10.2660,,19.4999,5.9105,9.2340,,11.47,1.20
130,57.4006,25.5767,,,19.3215,6.2552,,,13.51,1.26
131,57.4639,25.3430,,,19.1473,6.1958,,,14.43,1.11
132,57.5253,25.2987,,,19.0059,6.2929,,,12.55,0.88
133,57.5937,25.0796,,,18.8350,6.2447,,,14.47,0.94
134,57.6575,24.4453,,,18.6761,5.7692,,,15.00,0.83
135,57.7303,24.2349,10.2879,,18.5126,5.7224,8.2246,,12.71,1.10
136,57.8072,24.3036,,,18.3402,5.9634,,,23.61,2.45
137,57.8678,23.9055,,,18.2268,5.6786,,,16.76,0.93
138,57.9255,23.5938,,,18.1195,5.4743,,,10.73,0.82
139,57.9899,23.9244,,,17.9976,5.9269,,,17.36,1.22
140,58.0548,23.8343,,,17.8849,5.9493,,,13.79,1.11
141,58.1179,23.6361,,,17.8176,5.8185,,,13.32,1.06
142,58.1814,23.7305,12.8509,,17.8123,5.9182,4.9614,,15.35,1.27
143,58.2446,23.7584,,,17.8009,5.9574,,,15.44,1.23
144,58.3041,24.0192,,,17.7830,6.2362,,,10.18,1.29
145,58.3595,23.8494,,,17.7611,6.0883,,,9.29,1.23
146,58.4154,23.3696,,,17.7355,5.6341,,,9.91,1.11
147,58.4827,23.6132,12.6118,,17.6835,5.9297,5.0717,,15.35,2.01
148,58.5462,23.3674,,,17.6334,5.7340,,,15.05,1.20
149,58.6253,23.2472,,,17.5444,5.7028,,,22.30,1.68
150,58.6817,23.0674,12.5954,12.5117,17.4889,5.5785,4.8935,4.9772,9.45,0.91
151,58.7459,22.9646,,,17.4242,5.5403,,,15.59,1.07
152,58.8055,23.4746,,,17.4179,6.0567,,,10.25,1.02
153,58.8682,23.1438,,,17.4069,5.7370,,,10.54,1.01
154,58.9308,23.1926,10.3027,12.3800,17.3856,5.8070,7.0830,5.0056,11.05,0.99
155,58.9910,23.1006,10.3265,,17.3717,5.7289,7.0452,,10.68,1.24
156,59.0586,23.2609,,,17.3691,5.8917,,,10.48,0.80
157,59.1232,23.0364,,,17.3594,5.6770,,,14.55,0.81
158,59.1858,23.3003,10.4791,,17.3439,5.9564,6.8648,,13.25,1.04
