frame,timestamp_s,obstacle_id,detection_source,cam_dist_m,lidar_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_rel_error_pct,lidar_rel_error_pct,cam_within_1m,lidar_within_1m,cam_latency_ms,lidar_latency_ms,danger_level,angle_deg,sector,match_method
0,54.5908,t2,LIDAR_ONLY,40.6173,40.6173,,,,,,,,14.17,3.83,drive,26.26,front,LIDAR_ONLY
0,54.5908,t2,LIDAR_ONLY,39.9349,39.9349,,,,,,,,14.17,3.83,drive,26.33,front,LIDAR_ONLY
0,54.5908,t2,LIDAR_ONLY,34.1261,34.1261,,,,,,,,14.17,3.83,drive,27.22,front,LIDAR_ONLY
0,54.5908,t2,LIDAR_ONLY,31.2690,31.2690,,,,,,,,14.17,3.83,drive,28.91,front,LIDAR_ONLY
0,54.5908,t2,LIDAR_ONLY,30.5658,30.5658,,,,,,,,14.17,3.83,drive,25.99,front,LIDAR_ONLY
0,54.9349,t11,LIDAR_ONLY,38.2364,38.2364,,,,,,,,8.80,1.33,drive,-11.17,front,LIDAR_ONLY
0,54.9949,t15,LIDAR_ONLY,40.0757,40.0757,,,,,,,,10.86,4.02,drive,26.58,front,LIDAR_ONLY
0,54.9949,t15,LIDAR_ONLY,33.7650,33.7650,,,,,,,,10.86,4.02,drive,27.71,front,LIDAR_ONLY
0,54.9949,t15,LIDAR_ONLY,31.1080,31.1080,,,,,,,,10.86,4.02,drive,29.59,front,LIDAR_ONLY
0,54.9949,t15,LIDAR_ONLY,30.7023,30.7023,,,,,,,,10.86,4.02,drive,23.47,front,LIDAR_ONLY
0,55.1912,t21,LIDAR_ONLY,37.9730,37.9730,,,,,,,,15.74,3.89,drive,-10.50,front,LIDAR_ONLY
0,55.1912,t15,LIDAR_ONLY,31.5719,31.5719,,,,,,,,15.74,3.89,drive,26.68,front,LIDAR_ONLY
0,55.1912,t15,LIDAR_ONLY,27.4480,27.4480,,,,,,,,15.74,3.89,drive,29.25,front,LIDAR_ONLY
0,55.1912,t15,LIDAR_ONLY,27.9457,27.9457,,,,,,,,15.74,3.89,drive,27.94,front,LIDAR_ONLY
0,55.1912,t15,LIDAR_ONLY,28.4802,28.4802,,,,,,,,15.74,3.89,drive,25.96,front,LIDAR_ONLY
0,55.1912,t15,LIDAR_ONLY,28.7891,28.7891,,,,,,,,15.74,3.89,drive,27.78,front,LIDAR_ONLY
0,55.1912,t22,LIDAR_ONLY,32.0198,32.0198,30.8259,1.1939,1.1939,3.8731,3.8731,0,0,15.74,3.89,drive,14.48,front,LIDAR_ONLY
0,55.3854,t21,LIDAR_ONLY,37.7173,37.7173,,,,,,,,9.93,1.33,drive,-9.80,front,LIDAR_ONLY
0,55.3854,t15,LIDAR_ONLY,29.3224,29.3224,,,,,,,,9.93,1.33,drive,27.91,front,LIDAR_ONLY
0,55.3854,t15,LIDAR_ONLY,30.9513,30.9513,,,,,,,,9.93,1.33,drive,27.59,front,LIDAR_ONLY
0,55.6390,t29,LIDAR_ONLY,37.0895,37.0895,,,,,,,,11.42,2.74,drive,-8.61,front,LIDAR_ONLY
0,55.6390,t32,LIDAR_ONLY,38.8095,38.8095,,,,,,,,11.42,2.74,drive,29.80,front,LIDAR_ONLY
0,55.6390,t34,LIDAR_ONLY,31.1677,31.1677,29.6198,1.5480,1.5480,5.2262,5.2262,0,0,11.42,2.74,drive,16.39,front,LIDAR_ONLY
0,55.8317,cam_0,CAM_ONLY,46.8461,,42.2583,4.5878,,10.8565,,0,,9.98,2.41,safe,8.79,,CAMERA_ONLY
0,55.8950,t40,LIDAR_ONLY,28.0488,28.0488,,,,,,,,15.38,3.82,drive,28.02,front,LIDAR_ONLY
0,55.8950,t41,LIDAR_ONLY,30.5340,30.5340,28.6797,1.8544,1.8544,6.4658,6.4658,0,0,15.38,3.82,drive,17.98,front,LIDAR_ONLY
0,56.0322,t46,LIDAR_ONLY,18.9024,18.9024,,,,,,,,16.02,4.32,drive,-26.16,front,LIDAR_ONLY
0,56.0916,t47,LIDAR_ONLY,35.7602,35.7602,,,,,,,,10.51,1.82,drive,-6.89,front,LIDAR_ONLY
0,56.0916,t46,LIDAR_ONLY,18.9225,18.9225,,,,,,,,10.51,1.82,drive,-25.63,front,LIDAR_ONLY
0,56.2873,t47,LIDAR_ONLY,35.2525,35.2525,,,,,,,,14.87,1.90,drive,-6.76,front,LIDAR_ONLY
0,56.3590,cam_1,CAM_ONLY,41.9233,,43.3344,1.4111,,3.2562,,0,,15.18,7.60,safe,11.61,,CAMERA_ONLY
0,56.4209,cam_1,CAM_ONLY,44.9806,,43.4887,1.4919,,3.4306,,0,,12.26,4.57,safe,11.78,,CAMERA_ONLY
0,56.4763,cam_1,CAM_ONLY,45.4311,,43.6204,1.8106,,4.1509,,0,,9.39,2.18,safe,11.95,,CAMERA_ONLY
0,56.4763,t47,LIDAR_ONLY,34.9979,34.9979,,,,,,,,9.39,2.18,drive,-6.51,front,LIDAR_ONLY
0,56.5384,t59,BOTH,44.6910,28.6360,43.7780,0.9129,15.1420,2.0854,34.5881,1,0,16.62,3.30,safe,12.08,,FULL_ANGLE
0,56.5384,t47,LIDAR_ONLY,34.8457,34.8457,,,,,,,,16.62,3.30,drive,-6.56,front,LIDAR_ONLY
0,56.8811,t68,LIDAR_ONLY,17.0622,17.0622,,,,,,,,12.59,2.44,drive,-27.58,front,LIDAR_ONLY
0,56.8811,t68,LIDAR_ONLY,17.2780,17.2780,,,,,,,,12.59,2.44,drive,-23.10,front,LIDAR_ONLY
0,56.8811,t68,LIDAR_ONLY,17.5853,17.5853,,,,,,,,12.59,2.44,drive,-21.07,front,LIDAR_ONLY
0,57.0359,cam_2,CAM_ONLY,46.1949,,45.6608,0.5341,,1.1698,,1,,19.92,4.20,safe,13.53,,CAMERA_ONLY
0,57.0359,t72,LIDAR_ONLY,33.5477,33.5477,,,,,,,,19.92,4.20,drive,-6.37,front,LIDAR_ONLY
0,57.3054,t79,LIDAR_ONLY,33.5923,33.5923,,,,,,,,8.45,9.36,drive,-6.30,front,LIDAR_ONLY
0,57.3760,t85,LIDAR_ONLY,27.9085,27.9085,25.6301,2.2784,2.2784,8.8897,8.8897,0,0,9.60,12.30,drive,21.96,front,LIDAR_ONLY
0,57.4667,t79,LIDAR_ONLY,33.5855,33.5855,,,,,,,,22.50,12.41,drive,-6.36,front,LIDAR_ONLY
0,57.4667,t85,LIDAR_ONLY,27.9207,27.9207,25.6130,2.3078,2.3078,9.0101,9.0101,0,0,22.50,12.41,drive,22.73,front,LIDAR_ONLY
0,57.6150,t79,LIDAR_ONLY,33.5322,33.5322,,,,,,,,14.69,9.23,drive,-6.57,front,LIDAR_ONLY
0,57.7552,t79,LIDAR_ONLY,33.4797,33.4797,,,,,,,,18.89,9.13,drive,-6.95,front,LIDAR_ONLY
0,57.7552,t92,LIDAR_ONLY,27.7086,27.7086,25.4789,2.2297,2.2297,8.7510,8.7510,0,0,18.89,9.13,drive,21.84,front,LIDAR_ONLY
0,57.7552,t93,LIDAR_ONLY,20.4033,20.4033,,,,,,,,18.89,9.13,drive,-21.05,front,LIDAR_ONLY
0,57.9010,t92,LIDAR_ONLY,27.6116,27.6116,25.4135,2.1981,2.1981,8.6492,8.6492,0,0,15.90,7.51,drive,20.97,front,LIDAR_ONLY
0,57.9010,t93,LIDAR_ONLY,19.5355,19.5355,,,,,,,,15.90,7.51,drive,-24.57,front,LIDAR_ONLY
0,57.9691,t79,LIDAR_ONLY,33.3857,33.3857,,,,,,,,8.82,9.37,drive,-8.29,front,LIDAR_ONLY
0,57.9691,t93,LIDAR_ONLY,18.0228,18.0228,,,,,,,,8.82,9.37,drive,-29.67,front,LIDAR_ONLY
0,57.9691,t93,LIDAR_ONLY,18.0958,18.0958,,,,,,,,8.82,9.37,drive,-24.08,front,LIDAR_ONLY
0,58.2016,t79,LIDAR_ONLY,33.1207,33.1207,,,,,,,,16.58,10.47,drive,-10.15,front,LIDAR_ONLY
