frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,11.3577,,,42.6324,,,10.27,1.37
2,11.4156,,,42.6324,,,11.66,0.93
3,11.4814,,9.9787,42.6324,,32.6537,19.78,1.66
4,11.5494,,,42.6324,,,16.88,1.31
5,11.6150,,,42.6324,,,20.67,1.34
6,11.6678,,,42.6324,,,11.82,1.35
7,11.7461,,,42.6324,,,17.35,1.11
8,11.8024,,,42.6324,,,8.73,1.08
9,11.8576,,,42.6301,,,11.34,0.95
10,11.9184,,,42.5780,,,14.60,1.15
11,11.9657,,,42.5161,,,8.20,0.94
12,12.0210,47.2460,,42.4109,4.8351,,9.55,1.35
13,12.0795,46.8169,,42.2617,4.5552,,8.94,1.02
14,12.1427,45.2325,10.2866,42.1342,3.0982,31.8477,13.10,1.25
15,12.2051,44.8617,,41.9569,2.9048,,12.70,1.35
16,12.2688,45.4587,,41.7770,3.6818,,14.43,1.15
17,12.3283,46.7397,,41.6083,5.1315,,9.52,0.94
18,12.3874,,9.5149,41.4071,,31.8922,11.60,1.36
19,12.4561,,,41.1898,,,12.94,1.12
20,12.5192,,,40.9803,,,15.45,0.98
21,12.5684,,,40.8395,,,9.50,1.03
22,12.6392,44.1392,11.0267,40.5734,3.5658,29.5467,20.53,1.26
23,12.7017,,,40.3878,,,15.64,1.34
24,12.7665,,,40.1557,,,13.04,1.09
25,12.8395,,11.0205,39.9458,,28.9253,21.79,2.85
26,12.9010,,,39.7249,,,12.90,1.25
27,12.9665,,,39.4766,,,15.09,1.10
28,13.0155,,,39.3295,,,8.69,0.95
29,13.0704,,,39.1366,,,11.65,1.03
30,13.1261,,,38.8850,,,8.62,1.02
31,13.1830,,11.9320,38.6912,,26.7593,11.21,1.11
32,13.2456,,,38.4479,,,10.09,1.13
33,13.3076,,,38.2133,,,8.49,1.25
34,13.3602,,,37.9711,,,8.64,1.40
35,13.4218,,,37.7496,,,16.99,1.33
36,13.4880,,9.0776,37.4658,,28.3882,16.76,2.55
37,13.5554,,,37.1876,,,9.79,1.37
38,13.6134,,,36.9617,,,16.26,0.91
39,13.6803,,10.2900,36.6713,,26.3813,15.59,1.01
40,13.7481,40.8348,,36.3787,4.4561,,22.25,1.39
41,13.8090,40.8576,,36.0851,4.7725,,18.49,2.82
42,13.8812,39.1305,,35.7681,3.3623,,20.58,1.63
43,13.9541,40.9224,,35.4395,5.4829,,16.14,2.51
44,14.0262,38.5180,,35.1132,3.4048,,21.89,1.30
45,14.0827,,9.4792,34.8788,,25.3996,11.37,1.21
46,14.1538,36.7028,,34.5428,2.1600,,16.25,1.28
47,14.2155,37.3906,,34.1945,3.1961,,11.99,1.07
48,14.2753,40.6478,,33.9092,6.7386,,14.60,1.12
49,14.3453,39.2016,,33.6006,5.6010,,15.80,1.18
50,14.4102,37.3975,,33.2472,4.1503,,15.15,2.43
51,14.4894,36.7980,8.9427,32.8806,3.9175,23.9379,19.96,1.40
52,14.5555,37.5777,,32.5541,5.0236,,14.39,1.78
53,14.6233,37.1730,,32.2035,4.9695,,17.75,1.51
54,14.6860,36.8957,10.0692,31.9662,4.9294,21.8970,13.29,1.18
55,14.7510,36.2859,,31.6822,4.6037,,13.03,1.25
56,14.8192,35.4518,,31.3873,4.0645,,15.22,1.37
57,14.8838,34.9541,10.2239,31.0844,3.8697,20.8606,16.62,1.31
58,14.9425,33.8071,,30.8485,2.9586,,18.20,1.05
59,15.0168,32.0016,,30.5048,1.4968,,20.03,0.89
60,15.0974,31.3217,,30.1778,1.1440,,15.15,1.18
61,15.1527,30.6839,,29.9502,0.7337,,14.99,1.18
62,15.2138,30.2432,,29.7013,0.5419,,11.97,0.96
63,15.2718,30.0588,,29.4331,0.6256,,9.54,0.80
64,15.3448,30.2869,,29.1582,1.1287,,24.59,1.27
65,15.4018,,,28.9153,,,12.26,1.25
66,15.4589,,,28.7164,,,16.02,0.92
67,15.5119,,,28.5479,,,13.24,1.22
68,15.5728,,,28.2844,,,14.26,0.91
69,15.6456,,9.1049,28.0036,,18.8987,15.94,1.26
70,15.7061,,,27.8025,,,17.90,2.36
71,15.7680,29.6597,,27.5519,2.1078,,13.57,1.03
72,15.8426,28.8143,,27.2363,1.5780,,20.23,1.15
73,15.9196,28.6932,,26.9036,1.7897,,23.03,2.63
