frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,9.4558,,,19.6704,,,12.54,4.18
2,9.5118,,,20.0638,,,10.57,0.96
3,9.5688,,,20.4515,,,10.94,1.11
4,9.6423,,11.9365,20.8988,,8.9624,14.02,1.33
5,9.7094,,,21.4292,,,18.75,1.57
6,9.7658,,,21.7579,,,10.64,1.22
7,9.8177,,,22.1272,,,9.59,1.00
8,9.8844,,19.1260,22.5888,,3.4629,15.54,1.95
9,9.9466,,,23.0814,,,16.32,1.07
10,10.0033,,,23.5120,,,9.64,1.10
11,10.0670,,,23.9335,,,18.23,0.95
12,10.1433,,10.0568,24.4987,,14.4420,25.17,1.44
13,10.2085,,,25.0021,,,15.49,1.16
14,10.2635,,,25.3586,,,11.66,1.05
15,10.3229,,,25.7960,,,10.28,1.27
16,10.3814,,10.8701,26.2132,,15.3431,9.90,1.11
17,10.4364,,11.5388,26.5069,,14.9681,10.30,1.07
18,10.5039,,,26.8674,,,13.54,1.16
19,10.5644,,,27.2205,,,17.17,1.12
20,10.6293,47.8529,24.0023,27.5783,20.2745,3.5760,14.45,1.00
21,10.6924,47.8974,10.6130,27.9418,19.9556,17.3287,11.14,1.28
22,10.7612,,,7.1855,,,16.30,1.11
23,10.8190,,,7.3016,,,13.82,1.19
24,10.8784,,26.1545,7.4724,,18.6821,13.05,1.16
25,10.9389,,11.7045,7.6650,,4.0394,13.57,1.46
26,10.9985,,,7.8728,,,9.41,1.00
27,11.0746,,,8.2030,,,22.83,2.05
28,11.1297,,,8.4678,,,11.64,1.14
29,11.1823,,27.7399,8.6598,,19.0801,10.19,0.85
30,11.2421,,11.0439,8.9746,,2.0693,13.38,1.28
31,11.3014,,,9.2753,,,12.32,1.20
32,11.3754,,,9.6633,,,17.86,1.37
33,11.4429,,10.0998,10.0395,,0.0603,14.73,1.35
34,11.4974,,10.2542,10.3856,,0.1314,9.54,1.26
35,11.5579,,,10.6540,,,15.91,2.31
36,11.6177,,,10.9632,,,9.91,1.28
37,11.6820,,21.0187,11.2790,,9.7397,19.09,1.11
38,11.7421,,10.1809,11.5811,,1.4002,10.82,1.28
39,11.8149,,,12.0329,,,22.11,1.74
40,11.8763,,,12.3586,,,11.22,1.07
41,11.9505,45.4964,,12.8409,32.6554,,21.53,1.88
42,12.0273,42.3377,,13.3453,28.9925,,22.53,1.84
43,12.0890,38.9897,10.5189,13.7452,25.2446,3.2263,19.16,1.18
44,12.1479,40.7007,12.1974,14.1177,26.5831,1.9203,12.82,1.26
45,12.2032,,,14.4210,,,13.92,1.38
46,12.2613,43.0860,,14.7721,28.3140,,14.20,0.86
47,12.3282,42.5080,,15.1447,27.3633,,15.33,1.02
48,12.3942,42.1738,10.5360,15.4520,26.7218,4.9160,16.95,1.05
49,12.4562,41.5552,,15.8003,25.7550,,18.25,1.25
50,12.5368,41.0228,10.4221,16.1464,24.8764,5.7243,13.72,0.99
51,12.6036,40.7380,,16.4350,24.3029,,16.06,1.34
