frame,timestamp_s,obstacle_id,detection_source,cam_dist_m,lidar_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_rel_error_pct,lidar_rel_error_pct,cam_within_1m,lidar_within_1m,cam_latency_ms,lidar_latency_ms,danger_level,angle_deg,sector,match_method
0,23.1929,t19,LIDAR_ONLY,9.8970,9.8970,,,,,,,,11.81,1.07,cautious,28.89,front,LIDAR_ONLY
0,23.1929,t20,LIDAR_ONLY,17.0064,17.0064,68.3980,51.3916,51.3916,75.1361,75.1361,0,0,11.81,1.07,drive,16.74,front,LIDAR_ONLY
0,23.1929,t20,LIDAR_ONLY,14.8957,14.8957,68.3980,53.5022,53.5022,78.2220,78.2220,0,0,11.81,1.07,drive,20.79,front,LIDAR_ONLY
0,23.1929,t20,LIDAR_ONLY,15.6732,15.6732,68.3980,52.7247,52.7247,77.0852,77.0852,0,0,11.81,1.07,drive,12.70,front,LIDAR_ONLY
0,23.1929,t19,LIDAR_ONLY,10.0686,10.0686,,,,,,,,11.81,1.07,cautious,24.84,front,LIDAR_ONLY
0,23.4419,t23,LIDAR_ONLY,9.7549,9.7549,,,,,,,,11.63,1.33,cautious,29.32,front,LIDAR_ONLY
0,23.4419,t23,LIDAR_ONLY,9.9560,9.9560,,,,,,,,11.63,1.33,cautious,25.28,front,LIDAR_ONLY
0,23.4419,t23,LIDAR_ONLY,10.5746,10.5746,,,,,,,,11.63,1.33,cautious,17.18,front,LIDAR_ONLY
0,23.4419,t23,LIDAR_ONLY,11.1079,11.1079,,,,,,,,11.63,1.33,cautious,21.23,front,LIDAR_ONLY
0,23.6477,t28,BOTH,27.2432,20.4548,,,,,,,,18.82,1.36,safe,2.19,,FULL_ANGLE
0,23.6477,t23,LIDAR_ONLY,11.6819,11.6819,,,,,,,,18.82,1.36,cautious,17.75,front,LIDAR_ONLY
0,23.6477,t23,LIDAR_ONLY,12.1982,12.1982,,,,,,,,18.82,1.36,cautious,25.91,front,LIDAR_ONLY
0,23.6477,t23,LIDAR_ONLY,12.5424,12.5424,,,,,,,,18.82,1.36,cautious,29.99,front,LIDAR_ONLY
0,23.6477,t28,LIDAR_ONLY,15.8382,15.8382,,,,,,,,18.82,1.36,cautious,21.83,front,LIDAR_ONLY
0,23.7961,cam_0,CAM_ONLY,27.3226,,41.5078,14.1852,,34.1748,,0,,21.90,1.18,slowdown,1.57,,CAMERA_ONLY
0,23.8585,cam_0,CAM_ONLY,26.6617,,41.3666,14.7049,,35.5477,,0,,9.62,1.28,slowdown,1.30,,CAMERA_ONLY
0,23.9814,cam_0,CAM_ONLY,26.6295,,41.0269,14.3975,,35.0928,,0,,13.67,1.18,warning,1.16,,CAMERA_ONLY
0,24.0506,cam_0,CAM_ONLY,26.4997,,40.8510,14.3513,,35.1308,,0,,15.23,1.17,warning,1.21,,CAMERA_ONLY
0,24.1166,cam_0,CAM_ONLY,26.7920,,40.6711,13.8792,,34.1253,,0,,13.65,0.82,warning,1.52,,CAMERA_ONLY
0,24.2531,cam_0,CAM_ONLY,26.7290,,40.3227,13.5936,,33.7121,,0,,15.19,1.24,slowdown,2.15,,CAMERA_ONLY
0,24.2531,t41,LIDAR_ONLY,12.8010,12.8010,,,,,,,,15.19,1.24,cautious,21.89,front,LIDAR_ONLY
0,24.2531,t41,LIDAR_ONLY,11.8060,11.8060,,,,,,,,15.19,1.24,slow,25.98,front,LIDAR_ONLY
0,24.2531,t41,LIDAR_ONLY,12.0977,12.0977,,,,,,,,15.19,1.24,slow,17.81,front,LIDAR_ONLY
0,24.3827,t41,LIDAR_ONLY,13.1448,13.1448,66.4105,53.2657,53.2657,80.2068,80.2068,0,0,15.52,0.97,slow,11.32,front,LIDAR_ONLY
0,24.4401,t41,LIDAR_ONLY,13.7336,13.7336,,,,,,,,9.27,0.83,cautious,21.00,front,LIDAR_ONLY
0,24.4401,t41,LIDAR_ONLY,14.3967,14.3967,,,,,,,,9.27,0.83,cautious,16.97,front,LIDAR_ONLY
0,24.5780,cam_0,CAM_ONLY,25.8963,,39.4405,13.5443,,34.3409,,0,,12.65,1.22,warning,2.64,,CAMERA_ONLY
0,24.8370,t50,LIDAR_ONLY,14.6301,14.6301,,,,,,,,11.54,0.94,cautious,19.39,front,LIDAR_ONLY
0,24.8370,t50,LIDAR_ONLY,15.0298,15.0298,,,,,,,,11.54,0.94,cautious,15.29,front,LIDAR_ONLY
0,24.8370,t50,LIDAR_ONLY,14.5534,14.5534,,,,,,,,11.54,0.94,cautious,23.49,front,LIDAR_ONLY
0,24.9908,cam_1,CAM_ONLY,25.4084,,38.2893,12.8809,,33.6409,,0,,24.57,2.38,warning,2.42,,CAMERA_ONLY
0,25.0540,cam_1,CAM_ONLY,25.4911,,38.0909,12.5998,,33.0783,,0,,14.24,1.02,warning,2.46,,CAMERA_ONLY
0,25.1138,cam_1,CAM_ONLY,25.3239,,37.9316,12.6077,,33.2381,,0,,14.49,1.06,warning,2.51,,CAMERA_ONLY
0,25.2336,cam_1,CAM_ONLY,24.8308,,37.5661,12.7353,,33.9010,,0,,12.63,1.05,warning,2.33,,CAMERA_ONLY
0,25.2949,t61,LIDAR_ONLY,18.4040,18.4040,,,,,,,,9.91,1.35,drive,15.06,front,LIDAR_ONLY
0,25.2949,t61,LIDAR_ONLY,15.9139,15.9139,,,,,,,,9.91,1.35,cautious,19.10,front,LIDAR_ONLY
0,25.2949,t61,LIDAR_ONLY,14.8265,14.8265,,,,,,,,9.91,1.35,cautious,23.15,front,LIDAR_ONLY
