frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,11.5813,,,42.6324,,,15.16,6.68
2,11.6466,,18.4604,42.6324,,24.1721,11.79,6.37
3,11.7210,,,42.6324,,,14.12,17.46
4,11.7916,,18.4722,42.6324,,24.1602,13.92,3.44
5,11.8614,,,42.6324,,,13.75,14.29
6,11.9169,,,42.6324,,,10.46,5.61
7,11.9818,,,42.6324,,,10.38,6.54
8,12.0467,,18.7849,42.6324,,23.8475,12.75,5.30
9,12.1280,,,42.6324,,,20.59,7.66
10,12.2167,,,42.6324,,,10.92,13.08
11,12.2960,,18.1668,42.6324,,24.4656,19.48,6.05
12,12.3705,,,42.6190,,,19.35,14.89
13,12.4300,,,42.5673,,,12.06,4.41
14,12.4869,48.2541,11.4319,42.4711,5.7830,31.0392,14.36,2.12
15,12.5705,46.6051,,42.2911,4.3140,,15.15,18.19
16,12.6341,45.6464,,42.1421,3.5043,,9.57,6.74
17,12.7029,45.9764,,41.9681,4.0083,,10.59,7.61
18,12.7668,45.8058,,41.7782,4.0276,,15.53,5.70
19,12.8330,45.5723,22.5709,41.5997,3.9726,19.0288,14.06,4.06
20,12.9245,47.1146,,41.2943,5.8203,,19.82,23.30
21,13.0005,47.8448,18.8351,41.0381,6.8067,22.2030,13.78,9.94
22,13.0646,,,40.8193,,,10.67,13.61
23,13.1324,33.3407,,40.5501,7.2094,,16.66,6.92
24,13.2048,31.5495,,40.2616,8.7120,,10.55,11.53
25,13.2654,31.3559,,40.0208,8.6649,,12.63,6.37
26,13.3225,31.1015,,39.8041,8.7026,,10.26,4.12
27,13.3841,31.6123,,39.5428,7.9305,,10.98,2.32
28,13.4647,30.8127,,39.2133,8.4006,,12.80,6.94
29,13.5275,31.3287,,38.9745,7.6458,,9.93,5.40
30,13.6293,32.2646,,38.5544,6.2898,,22.13,9.40
31,13.7263,33.0401,,38.1222,5.0821,,14.62,22.91
32,13.7998,32.4685,20.4122,37.8445,5.3761,17.4324,14.36,8.26
33,13.8688,34.4446,,37.5652,3.1206,,11.83,3.65
34,13.9580,34.4377,18.6337,37.1929,2.7552,18.5592,15.59,14.02
35,14.0236,34.4468,,36.9414,2.4947,,14.69,6.08
36,14.0864,34.6210,14.6853,36.6925,2.0715,22.0072,12.34,1.82
37,14.1687,34.6948,,36.3305,1.6357,,11.13,16.70
38,14.2365,35.3958,,36.0248,0.6290,,10.36,5.58
39,14.3195,38.3800,,35.6649,2.7152,,15.59,10.40
40,14.3864,35.2918,12.7643,35.3815,0.0897,22.6172,14.42,1.68
41,14.4632,35.2492,,34.9845,0.2647,,10.43,15.95
