frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,14.0804,27.2270,,13.8536,13.3734,,10.25,1.33
2,14.1479,27.3448,,14.4885,12.8563,,16.12,1.19
3,14.2067,27.3196,,15.1335,12.1861,,13.52,1.25
4,14.2709,27.3457,,15.9808,11.3649,,11.88,1.21
5,14.3439,27.1308,11.0771,16.6700,10.4608,5.5929,18.96,0.98
6,14.4041,27.0014,,17.6566,9.3449,,11.53,1.58
7,14.4595,27.1001,,18.3555,8.7446,,10.83,1.04
8,14.5150,27.3375,,19.0291,8.3084,,10.47,0.98
9,14.5762,27.3256,,20.0576,7.2680,,10.46,1.20
10,14.6430,27.6178,11.3317,20.9295,6.6883,9.5979,18.46,1.34
11,14.7153,28.2716,,22.0426,6.2290,,17.67,1.24
12,14.7763,28.1172,,23.0958,5.0214,,16.35,0.88
13,14.8381,,10.5562,24.0473,,13.4912,16.62,1.37
14,14.8979,,10.7599,25.1612,,14.4013,10.92,1.49
15,14.9528,,,25.9758,,,11.58,1.30
16,15.0238,,,27.1665,,,13.65,1.25
17,15.0949,,11.1198,28.4058,,17.2860,16.92,1.45
18,15.1546,,,29.4926,,,15.14,1.03
19,15.2108,,,30.1982,,,16.02,1.59
20,15.2731,,,30.8371,,,13.63,1.07
21,15.3303,26.8625,,31.4951,4.6325,,10.90,0.90
22,15.3941,27.0559,,32.3108,5.2549,,17.23,1.02
23,15.4637,26.9809,,33.2278,6.2470,,23.26,2.55
24,15.5327,26.5653,,34.1464,7.5811,,18.47,2.20
25,15.5967,26.9329,,34.8826,7.9496,,11.45,1.16
26,15.6649,34.0498,,35.8218,1.7720,,22.86,2.11
27,15.7509,,,36.8813,,,19.42,1.44
28,15.8195,,,37.7319,,,14.47,1.32
29,15.8928,,12.7585,38.5494,,25.7909,19.70,1.31
30,15.9661,26.5578,,39.2704,12.7127,,23.14,2.09
31,16.0277,36.1521,,39.6379,3.4857,,9.75,1.11
32,16.0967,,12.0537,40.0304,,27.9768,19.86,2.29
33,16.1620,26.4596,,40.2965,13.8369,,14.15,1.20
34,16.2290,26.4796,,40.6077,14.1281,,13.71,1.19
35,16.2929,,11.9322,40.8895,,28.9574,13.70,1.27
36,16.3622,,,41.3744,,,22.83,2.06
37,16.4267,26.3809,,41.8180,15.4370,,9.71,1.24
38,16.4848,26.4834,12.1520,42.1846,15.7012,30.0327,11.55,1.08
39,16.5454,25.9909,12.1590,42.6588,16.6680,30.4998,12.25,1.34
