metric,camera,lidar_bbox
MAE_m,34.6684,96.6387
RMSE_m,34.6684,96.7963
MAPE_pct,32.1615,87.8691
detection_rate,0.0050,0.2700
mean_latency_ms,12.5437,1.3176
n_frame_samples,200,200
MAE_winner,CAMERA,-

--- per-obstacle metrics ---,,
metric,camera,lidar
obstacle_MAE_m,16.9771,18.9199
obstacle_RMSE_m,23.3190,24.7386
obstacle_95th_pct_error_m,50.2273,51.9831
within_1m_pct,7.3463,3.5473
n_obstacle_rows,3045,3045

--- detection source rates (per obstacle row) ---,,
both_detected_rate,0.0000,-
cam_detection_rate,1.0000,-
lidar_detection_rate,1.0000,-
cam_only_obstacle_rate,0.0266,-
lidar_only_obstacle_rate,0.9734,-
note_cam_only_rate,≈ camera FP / LiDAR FN rate,
note_lidar_only_rate,≈ camera FN / LiDAR FP rate,
