frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,27.4531,,,20.4990,,,9.77,2.76
2,27.5082,,,20.5407,,,9.68,0.90
3,27.5676,,,20.5921,,,15.22,1.11
4,27.6302,,16.9111,20.6459,,3.7348,16.71,0.92
5,27.6929,,16.8150,20.7002,,3.8852,10.64,1.49
6,27.7594,,,20.7635,,,17.86,1.02
7,27.8132,,,20.8354,,,9.58,0.91
8,27.8655,,,20.9025,,,9.44,1.01
9,27.9278,,,20.9810,,,15.90,1.06
10,28.0137,21.5571,,21.1232,0.4339,,15.44,1.77
11,28.0764,,,21.2336,,,12.16,1.23
12,28.1385,,7.1702,21.3829,,14.2127,16.54,1.27
13,28.2069,,,21.5084,,,19.01,1.75
14,28.2689,22.4745,,21.6656,0.8089,,12.86,1.13
15,28.3357,23.1029,6.9595,21.8506,1.2523,14.8910,12.71,0.94
16,28.3955,22.4424,7.0415,21.9877,0.4547,14.9462,20.24,1.73
17,28.4747,23.3777,,22.2234,1.1543,,17.13,1.14
18,28.5432,22.7895,7.1867,22.4842,0.3053,15.2975,17.76,1.27
19,28.6044,24.2033,,22.7318,1.4714,,14.08,1.24
20,28.6603,23.5201,,23.0237,0.4963,,10.70,1.03
21,28.7152,24.0792,,23.2991,0.7802,,10.62,1.40
22,28.7796,24.8165,,23.6221,1.1944,,18.33,2.52
23,28.8414,24.7289,9.1239,23.9247,0.8042,14.8008,13.41,1.28
24,28.9072,25.3530,,24.2377,1.1153,,11.56,1.61
25,28.9667,25.9524,,24.4986,1.4538,,16.79,0.96
26,29.0290,25.7092,,24.7921,0.9171,,12.26,0.98
27,29.0901,24.8368,9.4813,25.0921,0.2553,15.6108,12.36,1.48
28,29.1668,24.8165,,25.4398,0.6233,,20.50,1.48
29,29.2455,25.0763,9.0579,25.8580,0.7817,16.8001,22.32,3.30
30,29.3055,25.8311,,26.1044,0.2733,,13.00,1.43
31,29.3674,25.0479,,26.4074,1.3595,,13.26,0.93
32,29.4337,24.4519,7.7243,26.7721,2.3202,19.0478,10.94,1.24
33,29.4980,23.8577,,27.0423,3.1846,,15.80,3.70
34,29.5538,24.5067,,27.3593,2.8526,,9.22,0.82
35,29.6123,24.6585,,27.6147,2.9562,,14.13,0.96
36,29.6783,25.2488,48.8366,27.9313,2.6826,20.9053,16.28,0.96
