frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,14.8974,27.7598,9.3612,13.6333,14.1265,4.2721,20.85,3.18
2,15.0332,27.7545,,15.6288,12.1258,,18.04,2.10
3,15.1691,27.7959,,18.0730,9.7229,,20.10,2.42
4,15.3806,27.8323,,21.5533,6.2790,,21.04,2.53
5,15.5892,27.6346,,25.2640,2.3706,,23.02,3.44
6,15.7229,27.6377,,27.6746,0.0369,,24.08,4.06
7,15.8165,27.6788,11.3363,29.0922,1.4134,17.7560,12.35,2.48
8,15.9562,27.2541,11.5053,31.6709,4.4168,20.1656,32.52,4.54
9,16.1011,27.6515,10.9585,33.8794,6.2278,22.9209,18.26,1.66
10,16.1941,31.8566,10.4193,35.6703,3.8138,25.2510,14.07,1.99
11,16.2881,27.3544,,37.3130,9.9587,,12.80,1.74
12,16.3972,26.9665,,39.1696,12.2031,,19.84,2.83
13,16.5330,26.8994,,41.3775,14.4781,,23.99,2.59
14,16.6818,27.3174,,44.1828,16.8654,,21.61,3.35
15,16.8286,,,45.5046,,,28.00,3.16
16,16.9706,26.4904,9.5570,45.1978,18.7074,35.6408,23.29,4.94
17,17.1301,44.2658,,44.8099,0.5441,,20.85,2.59
18,17.2797,,,44.4630,,,20.46,3.85
19,17.4475,25.3509,9.9836,43.9944,18.6435,34.0108,20.61,2.91
20,17.5939,25.5198,10.4131,43.5641,18.0443,33.1510,20.57,2.79
21,17.7341,25.0099,16.8762,43.1325,18.1226,26.2564,25.65,2.22
22,17.8753,24.6805,,42.7366,18.0561,,20.26,3.02
23,18.0047,24.7545,10.9884,42.4206,17.6661,31.4321,13.21,3.35
24,18.1205,24.6869,,42.1501,17.4632,,12.55,1.29
25,18.2339,,,41.9116,,,11.01,1.50
26,18.3878,24.9815,,41.6074,16.6259,,20.06,6.18
27,18.5230,,9.4551,41.2971,,31.8419,18.88,3.83
28,18.6542,,10.7734,41.0166,,30.2432,16.20,3.77
29,18.8201,,,40.7202,,,21.00,3.74
30,18.9545,,10.5963,40.4852,,29.8889,16.03,2.81
31,19.0858,,,40.2382,,,19.49,4.31
32,19.2266,,,39.9718,,,18.39,2.14
33,19.3985,58.4854,9.9145,39.6214,18.8640,29.7069,22.65,2.98
34,19.6324,,,39.0347,,,22.43,2.96
35,19.7994,,9.4061,38.6676,,29.2615,18.95,2.50
36,19.9669,,,38.2276,,,19.70,1.87
37,20.1272,,9.1882,37.8352,,28.6470,18.91,4.95
38,20.3376,,,37.3072,,,43.19,3.78
39,20.5059,54.2920,9.2878,36.8186,17.4734,27.5308,21.61,2.47
40,20.6690,53.4539,,36.3834,17.0704,,20.43,2.04
41,20.8150,22.3020,,35.9883,13.6863,,23.03,2.82
42,20.9536,22.2481,,35.5781,13.3300,,18.80,2.87
43,21.0890,50.0767,,35.2014,14.8753,,21.15,2.97
44,21.2169,50.0847,,34.8868,15.1979,,19.95,2.94
45,21.3562,50.2449,9.8583,34.5090,15.7359,24.6507,27.48,4.11
46,21.5087,50.6912,9.7259,34.0418,16.6494,24.3159,23.37,3.01
47,21.6516,50.6889,10.1496,33.6308,17.0581,23.4812,25.03,3.88
48,21.7543,50.1970,11.0888,33.3461,16.8508,22.2574,17.21,1.88
49,21.8969,49.9053,11.4506,32.9772,16.9281,21.5266,20.11,2.52
50,22.0232,48.8836,,32.6495,16.2340,,22.97,2.92
51,22.1275,48.2863,,32.4259,15.8604,,16.09,1.13
52,22.2614,48.9514,,32.1388,16.8126,,16.06,2.78
53,22.3954,19.6903,13.8997,31.7758,12.0855,17.8761,20.51,2.27
54,22.5213,19.4493,,31.4036,11.9543,,19.94,2.45
55,22.6739,19.1191,,31.0099,11.8908,,22.95,3.33
56,22.7974,18.8281,10.3727,30.6934,11.8653,20.3207,15.59,2.73
57,22.9522,18.5869,10.3877,30.3377,11.7509,19.9500,20.70,3.62
58,23.0549,,10.4034,30.1460,,19.7426,13.20,1.68
59,23.1846,,15.7924,29.8847,,14.0924,20.65,1.11
60,23.3142,43.5606,10.5146,29.7113,13.8493,19.1966,21.25,3.98
61,23.4460,42.8269,,29.4987,13.3282,,18.84,3.31
62,23.5978,42.3761,10.5705,29.3085,13.0676,18.7380,21.71,3.82
63,23.7203,41.9729,10.5716,29.1103,12.8626,18.5387,25.99,3.20
64,23.8804,41.3192,,28.8760,12.4432,,19.23,1.31
65,24.0037,41.3621,10.1568,28.7631,12.5990,18.6063,22.80,2.69
66,24.1391,41.5148,10.3884,28.7154,12.7995,18.3270,21.10,2.51
67,24.2913,40.9051,10.5447,28.7152,12.1899,18.1705,25.51,2.95
68,24.4343,41.0591,,28.7151,12.3440,,20.14,2.39
69,24.5944,41.2493,10.5939,28.7141,12.5352,18.1202,25.75,2.84
70,24.7422,41.5638,10.7287,28.6867,12.8771,17.9581,23.92,2.54
71,24.8611,41.8022,,28.6381,13.1641,,11.67,1.53
72,24.9917,41.8032,,28.5720,13.2312,,18.73,2.87
73,25.1339,41.4999,,28.4672,13.0327,,20.90,3.28
74,25.2793,41.3427,,28.2789,13.0638,,21.88,2.81
75,25.4195,40.8575,,28.0353,12.8222,,23.74,2.25
76,25.5672,39.6826,,27.6996,11.9830,,21.04,3.49
77,25.7132,38.3648,13.0458,27.3243,11.0404,14.2785,22.43,3.49
78,25.8668,37.7846,9.9819,26.9068,10.8779,16.9248,18.36,4.18
79,26.0172,36.8317,,26.4441,10.3876,,22.51,2.26
80,26.1639,36.5980,,26.0068,10.5912,,20.93,2.50
81,26.3162,35.7135,,25.5184,10.1951,,19.90,3.08
82,26.4559,34.4593,10.8908,25.0797,9.3796,14.1889,20.39,3.13
83,26.6210,33.4380,,24.4941,8.9439,,38.89,2.96
84,26.7620,32.9609,,23.9725,8.9884,,20.03,2.80
85,26.8745,33.4075,,23.5362,9.8713,,18.62,2.01
86,27.0117,32.4199,13.4466,23.0364,9.3835,9.5898,21.17,3.70
87,27.1618,31.2965,12.5141,22.4759,8.8206,9.9618,23.27,3.81
88,27.2940,31.1734,,21.9445,9.2289,,22.23,3.06
89,27.4292,31.0386,,21.4799,9.5587,,18.89,3.62
90,27.5753,28.5975,,20.9581,7.6394,,22.81,2.64
91,27.7221,26.8102,,20.4520,6.3582,,19.72,2.15
92,27.8735,25.9612,,19.9753,5.9858,,20.56,3.04
93,28.0217,25.2932,10.5483,19.5590,5.7342,9.0107,18.78,3.91
94,28.1613,24.6543,,19.1214,5.5329,,22.69,2.58
95,28.3060,24.7698,11.7236,18.7757,5.9940,7.0521,24.39,3.17
96,28.4658,24.6934,12.4756,18.4068,6.2866,5.9312,18.72,3.00
97,28.6197,24.8914,12.4845,18.0982,6.7932,5.6137,19.61,4.06
98,28.7727,23.6424,,17.8155,5.8268,,18.61,1.78
99,28.8927,22.9236,12.5236,17.6160,5.3076,5.0924,22.01,2.63
100,29.0366,22.7896,12.4724,17.4050,5.3845,4.9327,21.89,1.60
101,29.1737,22.7247,12.4702,17.3453,5.3793,4.8751,11.59,2.41
102,29.2711,22.9398,12.3760,17.3424,5.5974,4.9664,14.58,1.82
103,29.3951,22.9324,12.3666,17.3342,5.5981,4.9676,18.20,2.01
104,29.5110,22.4936,,17.3121,5.1815,,13.40,1.61
105,29.6200,22.5342,,17.2722,5.2619,,12.17,2.16
106,29.7723,22.4357,12.2790,17.1864,5.2493,4.9074,21.04,3.23
107,29.9177,22.0052,,17.0528,4.9524,,22.09,3.08
108,30.0261,22.0209,,16.9751,5.0459,,10.73,1.53
109,30.1569,22.2384,,16.9686,5.2698,,21.05,2.75
110,30.2737,22.0995,,16.9358,5.1637,,19.32,2.19
111,30.4052,21.8486,11.8934,16.8565,4.9922,4.9631,13.56,2.67
112,30.5238,21.6119,,16.8042,4.8077,,13.91,3.70
113,30.6975,21.8595,11.8458,16.7898,5.0696,4.9440,22.98,5.68
114,30.8839,21.2804,,16.7011,4.5793,,19.68,3.00
115,31.0197,21.4888,11.9282,16.6818,4.8071,4.7536,18.85,3.85
116,31.1602,21.6199,11.7965,16.6789,4.9410,4.8824,19.69,3.94
117,31.3183,21.2271,11.7304,16.6681,4.5589,4.9377,23.76,4.20
118,31.4597,21.1977,11.6900,16.6334,4.5643,4.9434,21.35,4.53
119,31.6049,21.2096,,16.5754,4.6342,,24.47,2.76
120,31.7471,21.6078,11.6216,16.5570,5.0508,4.9354,19.42,3.61
121,31.9140,21.5334,,16.5527,4.9808,,25.94,3.04
122,32.0675,21.2564,11.5788,16.5375,4.7188,4.9587,22.47,4.07
123,32.2131,21.4124,11.4809,16.4764,4.9360,4.9955,26.25,3.35
124,32.3407,21.3475,11.4402,16.3842,4.9633,4.9440,21.18,2.35
125,32.4741,21.4928,,16.3586,5.1342,,19.51,2.84
126,32.6039,21.7801,11.3638,16.3563,5.4238,4.9925,20.56,3.17
127,32.7398,21.3988,11.3320,16.3302,5.0686,4.9983,18.54,2.80
128,32.8769,21.1019,,16.2752,4.8267,,20.37,2.32
129,32.9597,21.2782,,16.2342,5.0440,,11.78,1.81
130,33.0624,21.3726,,16.2038,5.1688,,12.56,1.94
131,33.1736,21.6322,,16.2013,5.4308,,11.82,1.92
132,33.3056,21.4515,,16.1738,5.2777,,18.82,2.89
133,33.4481,20.7248,11.0419,16.0888,4.6360,5.0469,20.71,2.76
134,33.6061,20.7842,10.9990,16.0294,4.7547,5.0304,20.34,3.37
135,33.7034,21.4017,10.9840,16.0272,5.3745,5.0432,19.73,3.32
136,33.8254,20.9235,,11.2060,9.7175,,24.30,2.29
137,33.9394,20.9646,10.9560,11.9530,9.0116,0.9971,19.42,2.74
138,34.0533,20.7800,11.3408,13.1869,7.5932,1.8461,14.55,2.60
139,34.1712,20.7446,,14.7407,6.0039,,27.24,3.55
140,34.3212,20.2267,,15.8943,4.3325,,24.63,2.50
141,34.4628,19.7704,10.7776,15.8563,3.9142,5.0787,21.14,4.50
142,34.6135,19.8066,,15.8410,3.9656,,24.24,2.91
143,34.7678,20.1262,10.7952,15.8409,4.2853,5.0457,19.55,3.98
144,34.9154,20.1050,11.4418,15.8405,4.2645,4.3987,20.70,3.64
145,35.0362,20.1066,10.8049,15.8394,4.2672,5.0345,17.83,1.61
146,35.1448,20.1389,10.7827,15.8380,4.3009,5.0552,17.71,1.63
147,35.2776,20.1986,,15.8353,4.3634,,12.16,2.51
148,35.4189,20.0980,11.3558,15.8167,4.2814,4.4609,20.75,4.38
149,35.5358,20.1419,,15.8095,4.3324,,13.37,1.32
150,35.6753,20.1146,,15.8065,4.3082,,26.06,3.20
151,35.8425,19.7447,10.6704,15.7657,3.9789,5.0954,24.84,2.31
152,36.0023,20.1133,10.6590,15.7325,4.3808,5.0735,22.75,2.82
153,36.1525,20.0806,12.7441,15.7278,4.3528,2.9838,19.01,3.12
154,36.3060,20.2338,10.6656,15.7249,4.5089,5.0593,18.70,3.11
155,36.4475,20.1627,10.6691,15.7223,4.4404,5.0532,22.90,3.01
156,36.5888,20.0610,10.6590,15.7143,4.3467,5.0553,20.33,2.31
