frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,18.2455,,11.8971,47.4616,,35.5645,10.90,1.62
2,18.3088,,,47.4616,,,15.91,1.25
3,18.3653,,,47.4616,,,11.21,1.11
4,18.4312,,,47.4616,,,17.76,0.77
5,18.4907,,11.3304,47.4616,,36.1312,15.65,1.33
6,18.5504,,,47.4616,,,11.86,1.48
7,18.6154,,,47.4616,,,17.41,1.42
8,18.6685,,,47.4616,,,13.40,1.09
9,18.7291,,,47.4616,,,10.81,1.10
10,18.7860,,14.6861,47.4616,,32.7755,10.28,0.98
11,18.8552,,,47.4616,,,17.78,1.22
12,18.9168,,,47.4616,,,11.19,1.17
13,18.9757,,,47.4616,,,14.58,2.04
14,19.0350,,11.3314,47.4616,,36.1302,9.80,0.99
15,19.0950,,,47.4616,,,8.66,1.08
16,19.1521,,,47.4616,,,14.02,1.30
17,19.2229,,,47.4397,,,14.63,1.08
18,19.2775,27.3586,,47.3802,20.0216,,8.81,1.08
19,19.3436,,10.8555,47.2466,,36.3911,16.69,1.05
20,19.3975,,10.4840,47.1500,,36.6659,10.86,1.30
21,19.4647,27.8727,,46.9807,19.1080,,18.23,0.90
22,19.5285,27.3231,,46.8316,19.5086,,12.61,1.07
23,19.5959,27.5058,12.2181,46.6698,19.1641,34.4517,13.01,1.24
24,19.6699,27.4966,,46.4731,18.9765,,24.71,1.70
25,19.7485,,12.1568,46.3071,,34.1503,20.46,2.03
26,19.8035,,,46.1607,,,8.39,1.22
27,19.8642,27.0253,,46.0373,19.0119,,14.20,0.85
28,19.9254,,,45.8872,,,9.89,1.20
29,19.9896,,11.4082,45.7169,,34.3087,16.13,1.34
30,20.0525,,,45.5593,,,11.36,1.29
31,20.1122,,,45.4036,,,11.84,0.86
32,20.1830,,,45.2191,,,13.42,0.93
33,20.2445,,11.3408,45.0280,,33.6873,10.84,2.73
34,20.3009,,,44.8671,,,8.75,1.28
35,20.3575,,,44.7105,,,11.81,1.26
36,20.4150,,,44.5552,,,8.85,1.16
37,20.4722,,,44.3630,,,13.95,1.07
38,20.5277,,,44.2020,,,11.63,2.63
39,20.5847,26.1930,15.4360,44.0036,17.8105,28.5676,13.18,0.78
40,20.6478,,12.6143,43.7644,,31.1501,9.49,1.33
41,20.7017,,,43.5760,,,8.65,1.23
42,20.7590,,,43.3655,,,8.61,1.16
43,20.8110,,,43.1936,,,8.31,1.36
44,20.8716,,,43.0040,,,17.57,1.17
45,20.9386,,13.3075,42.7634,,29.4559,15.47,1.23
46,20.9985,,,42.5364,,,10.00,1.00
47,21.0562,,,42.2909,,,10.53,0.87
48,21.1125,59.5691,,42.0891,17.4801,,12.99,0.92
49,21.1668,,,41.8514,,,10.60,1.34
50,21.2171,,,41.6723,,,9.39,1.04
51,21.2817,,17.7252,41.3941,,23.6689,14.42,0.92
52,21.3467,56.8224,,41.1214,15.7010,,10.09,1.10
53,21.4106,,,40.8306,,,17.20,1.04
54,21.4855,,13.8902,40.4932,,26.6030,20.15,1.11
55,21.5469,56.9489,10.3385,40.2020,16.7469,29.8635,12.81,1.35
56,21.6071,,,39.8993,,,8.49,1.05
57,21.6606,,,39.6824,,,11.31,1.14
58,21.7143,55.2072,,39.4011,15.8062,,11.24,0.88
59,21.7739,55.2059,,39.1254,16.0804,,11.26,1.14
60,21.8236,56.3382,,38.9179,17.4203,,11.81,1.14
61,21.8923,56.1570,10.1738,38.6077,17.5493,28.4338,15.85,1.30
62,21.9555,,,38.3412,,,17.51,1.08
63,22.0074,,,38.0031,,,8.89,1.39
64,22.0787,54.8778,,37.7038,17.1741,,13.01,1.20
65,22.1333,55.5678,,37.3887,18.1792,,9.34,0.94
66,22.1824,55.0148,9.5353,37.1581,17.8567,27.6228,11.28,0.92
67,22.2356,53.7892,,36.8640,16.9252,,9.09,0.94
68,22.2952,53.1809,9.4396,36.5752,16.6056,27.1357,10.90,1.27
69,22.3538,53.7298,,36.3356,17.3942,,15.48,1.26
70,22.4162,53.2261,,36.0125,17.2136,,9.74,1.40
71,22.4753,52.1230,,35.7628,16.3602,,15.44,1.18
72,22.5322,50.7804,9.2992,35.4624,15.3180,26.1632,14.28,1.03
73,22.5880,,9.2311,35.2089,,25.9778,11.99,1.17
74,22.6395,50.1251,9.3463,34.9854,15.1396,25.6391,9.45,1.06
75,22.7185,49.7213,,34.6044,15.1169,,22.92,1.19
76,22.7759,49.7317,,34.3050,15.4267,,10.18,1.12
77,22.8322,49.9070,,34.0985,15.8085,,10.38,0.80
78,22.8986,50.9224,9.7496,33.8162,17.1061,24.0666,15.56,1.31
79,22.9573,50.1849,,33.5373,16.6476,,10.86,1.17
80,23.0221,48.2824,,33.2420,15.0405,,16.79,1.07
81,23.0883,47.4522,,32.8969,14.5552,,13.20,1.04
82,23.1529,46.8498,,32.6272,14.2225,,17.56,1.28
83,23.2079,46.5959,,32.3444,14.2516,,11.38,0.91
84,23.2659,,,32.0964,,,12.37,1.02
85,23.3264,46.8170,,31.7829,15.0341,,12.38,0.93
86,23.4042,46.4216,,31.3944,15.0272,,22.61,1.34
87,23.4691,19.1363,,31.1018,11.9655,,16.15,0.76
88,23.5296,44.7326,,30.7783,13.9544,,10.04,0.89
89,23.5872,43.9558,,30.4599,13.4959,,9.38,0.94
90,23.6479,43.8177,,30.1420,13.6757,,16.74,1.36
91,23.7086,43.4126,,29.8594,13.5533,,10.92,0.91
92,23.7660,42.6993,,29.5963,13.1030,,16.52,0.84
93,23.8303,42.3068,14.0251,29.2289,13.0779,15.2038,16.05,0.88
94,23.8914,41.8801,,28.9160,12.9641,,10.55,1.22
95,23.9456,41.2693,10.1876,28.6199,12.6493,18.4323,11.15,1.41
96,24.0066,40.8773,,28.3334,12.5439,,14.73,1.24
97,24.0634,40.3673,,28.0011,12.3662,,8.68,1.21
98,24.1368,39.3694,10.1478,27.6458,11.7236,17.4980,21.67,1.27
