metric,camera,lidar_bbox
MAE_m,4.2023,4.7670
RMSE_m,4.2025,4.8844
MAPE_pct,23.9511,27.1696
detection_rate,1.0000,0.2250
mean_latency_ms,14.0785,1.1251
n_samples,200,200
winner,CAMERA,-
