frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
105,50.4683,,13.5428,29.9468,,16.4040,12.61,1.21
106,50.5228,,13.6339,30.0175,,16.3836,9.35,1.44
107,50.5855,,,30.0841,,,20.06,1.33
108,50.6372,,,30.1377,,,15.37,1.65
109,50.6973,,,30.2008,,,14.27,0.91
110,50.7533,,,30.2578,,,9.54,1.22
111,50.8199,,15.1143,30.3297,,15.2154,21.89,2.30
112,50.8878,,,30.3797,,,14.53,1.29
113,50.9401,27.3899,,30.4210,3.0311,,15.16,1.40
114,51.0012,27.8100,,30.4722,2.6622,,23.89,1.48
115,51.0597,,,30.5242,,,15.24,1.40
116,51.1251,28.2609,14.4452,30.5815,2.3206,16.1363,18.55,1.10
117,51.1773,,46.0451,30.6514,,15.3937,10.82,1.30
118,51.2346,,,30.7126,,,17.59,1.28
119,51.2850,,,30.7631,,,12.83,1.42
120,51.3376,,,30.8250,,,14.83,1.46
121,51.4118,,12.8273,30.9177,,18.0903,21.24,1.52
122,51.4635,,16.4666,30.9804,,14.5138,15.42,1.22
123,51.5097,,,31.0398,,,11.93,1.31
124,51.5649,,,31.1257,,,9.90,1.54
125,51.6150,,13.3779,31.1888,,17.8108,11.51,1.20
126,51.6614,26.9934,,31.2575,4.2641,,11.27,1.16
127,51.7188,26.6686,13.3663,31.3448,4.6762,17.9785,12.55,1.43
128,51.7660,26.7238,13.0149,31.4245,4.7007,18.4096,11.16,1.06
129,51.8156,,12.9211,31.5078,,18.5867,12.50,1.19
130,51.8708,,,31.6050,,,19.71,1.68
131,51.9257,,12.9410,31.6805,,18.7396,12.83,1.12
132,51.9883,,,31.8041,,,18.30,1.19
133,52.0417,,,31.8897,,,14.46,1.23
134,52.0978,,,31.9874,,,9.94,0.93
135,52.1597,,,32.1051,,,14.42,1.16
136,52.2137,,11.4900,32.1801,,20.6901,13.57,2.09
137,52.2789,26.4326,,32.2772,5.8446,,15.97,1.02
138,52.3408,26.0527,,32.3618,6.3092,,14.40,3.11
139,52.4111,,,32.4676,,,19.18,2.81
140,52.4736,28.4929,12.9934,32.5639,4.0711,19.5705,14.75,1.17
141,52.5231,27.6096,13.1654,32.6365,5.0269,19.4711,13.63,0.90
142,52.5827,,,32.7309,,,13.99,1.40
143,52.6314,,,32.8081,,,14.29,1.34
144,52.6766,,,32.8833,,,9.88,1.13
145,52.7326,,,32.9648,,,17.18,1.14
146,52.7884,,,33.0511,,,12.14,1.84
