frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
1,8.7037,,,7.0485,,,12.46,1.10
2,8.7594,,,7.4832,,,9.81,2.41
3,8.8291,,,7.9649,,,20.45,2.60
4,8.8926,,12.8500,8.3578,,4.4922,12.82,1.29
5,8.9573,,,8.8634,,,12.97,1.08
6,9.0150,,,9.3221,,,10.09,1.21
7,9.0709,,,9.7472,,,11.80,1.19
8,9.1318,,6.3009,10.1835,,3.8825,15.92,1.18
9,9.1984,,,10.6855,,,18.31,1.20
10,9.2544,,,11.1676,,,9.96,1.25
11,9.3170,,,11.5728,,,12.90,0.92
12,9.3863,,,12.1202,,,17.14,2.74
13,9.4450,,10.2432,12.5432,,2.3001,17.53,1.19
14,9.5033,,,12.9933,,,12.78,1.30
15,9.5660,,,13.4737,,,13.49,0.86
16,9.6266,,10.1532,13.9692,,3.8160,13.14,1.17
17,9.6806,,10.1894,14.3277,,4.1383,11.62,1.35
18,9.7350,,10.2335,14.7665,,4.5329,9.57,1.00
19,9.7952,,10.5976,15.1256,,4.5281,13.92,1.24
20,9.8534,46.7836,,15.6288,31.1548,,10.20,1.11
21,9.9075,,,16.0532,,,10.92,0.79
22,9.9765,,12.4528,16.5723,,4.1196,20.21,1.05
23,10.0306,,,16.9106,,,10.00,1.21
24,10.1004,,,17.4239,,,16.97,1.22
25,10.1729,,,17.9336,,,17.31,1.29
26,10.2439,,12.0576,18.4580,,6.4004,17.49,1.42
27,10.3049,46.0415,,18.9047,27.1368,,14.22,1.17
28,10.3663,46.2164,,19.2864,26.9300,,16.55,0.96
29,10.4199,47.4256,,19.6169,27.8087,,10.48,0.93
30,10.4948,47.4824,12.3436,20.1546,27.3278,7.8111,18.33,1.12
31,10.5620,47.7617,,20.5659,27.1958,,19.63,1.27
32,10.6223,47.4143,,20.9458,26.4684,,14.10,1.09
33,10.6773,47.8318,,21.2235,26.6084,,10.93,1.12
34,10.7522,47.6795,12.0910,21.2534,26.4261,9.1624,24.46,2.83
35,10.8081,,,21.1877,,,11.86,1.22
36,10.8780,,,21.1118,,,19.05,1.19
37,10.9374,,12.1453,21.0677,,8.9224,12.80,1.01
38,11.0015,,,23.0410,,,17.47,1.17
39,11.0639,,,23.3334,,,16.45,2.19
40,11.1306,,,23.7698,,,13.85,1.27
41,11.2140,,,24.1510,,,12.59,1.02
42,11.2694,,,24.4242,,,10.90,0.99
43,11.3261,,,24.6911,,,9.86,1.28
